drugname1	drugname2	cell_line	hsa
BORTEZOMIB	MK-8776	A2058	2.965
BORTEZOMIB	OXALIPLATIN	A2058	0.7025
BORTEZOMIB	SN-38	A2058	11.65
BORTEZOMIB	SORAFENIB	A2058	11.94
BORTEZOMIB	TOPOTECAN	A2058	2.1675
CARBOPLATIN	ABT-888	A2058	2.9625000000000004
CARBOPLATIN	AZD1775	A2058	16.7375
CARBOPLATIN	BEZ-235	A2058	5.3325
CARBOPLATIN	BORTEZOMIB	A2058	1.7200000000000002
CARBOPLATIN	DASATINIB	A2058	8.629999999999999
CARBOPLATIN	DINACICLIB	A2058	8.805
CARBOPLATIN	ERLOTINIB	A2058	9.0175
CARBOPLATIN	GELDANAMYCIN	A2058	10.1475
CARBOPLATIN	L778123	A2058	8.8925
CARBOPLATIN	LAPATINIB	A2058	8.790000000000001
CARBOPLATIN	MK-2206	A2058	7.93
CARBOPLATIN	MK-4827	A2058	7.405
CARBOPLATIN	MK-5108	A2058	4.245
CARBOPLATIN	MK-8669	A2058	7.689999999999999
CARBOPLATIN	MK-8776	A2058	12.0825
CARBOPLATIN	PD325901	A2058	-2.5125
CARBOPLATIN	SORAFENIB	A2058	0.6900000000000003
CARBOPLATIN	SUNITINIB	A2058	11.96
CARBOPLATIN	TEMOZOLOMIDE	A2058	0.35
CARBOPLATIN	ZOLINZA	A2058	10.0225
CYCLOPHOSPHAMIDE	ABT-888	A2058	11.35
CYCLOPHOSPHAMIDE	AZD1775	A2058	2.475
CYCLOPHOSPHAMIDE	BEZ-235	A2058	4.41
CYCLOPHOSPHAMIDE	BORTEZOMIB	A2058	1.91
CYCLOPHOSPHAMIDE	DASATINIB	A2058	-1.4025
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	4.7
CYCLOPHOSPHAMIDE	ERLOTINIB	A2058	-1.975
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	4.49
CYCLOPHOSPHAMIDE	L778123	A2058	3.8425
CYCLOPHOSPHAMIDE	LAPATINIB	A2058	1.2875
CYCLOPHOSPHAMIDE	MK-2206	A2058	2.4725
CYCLOPHOSPHAMIDE	MK-4827	A2058	2.0225
CYCLOPHOSPHAMIDE	MK-5108	A2058	-0.3725
CYCLOPHOSPHAMIDE	MK-8669	A2058	5.385
CYCLOPHOSPHAMIDE	MK-8776	A2058	-2.19
CYCLOPHOSPHAMIDE	PD325901	A2058	0.7799999999999999
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	8.385
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	11.5675
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	7.400000000000001
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	7.8125
DASATINIB	ABT-888	A2058	-0.4125
DASATINIB	BEZ-235	A2058	13.595000000000002
DASATINIB	DINACICLIB	A2058	10.329999999999998
DASATINIB	GELDANAMYCIN	A2058	1.115
DASATINIB	MK-8669	A2058	18.8025
DASATINIB	MK-8776	A2058	13.416250000000002
DASATINIB	OXALIPLATIN	A2058	9.0475
DASATINIB	SN-38	A2058	10.44
DASATINIB	SORAFENIB	A2058	14.515
DASATINIB	TOPOTECAN	A2058	4.7925
DEXAMETHASONE	ABT-888	A2058	-8.127500000000001
DEXAMETHASONE	AZD1775	A2058	-5.23
DEXAMETHASONE	BEZ-235	A2058	2.6875
DEXAMETHASONE	BORTEZOMIB	A2058	-1.77
DEXAMETHASONE	DASATINIB	A2058	-6.335
DEXAMETHASONE	DINACICLIB	A2058	-3.03
DEXAMETHASONE	ERLOTINIB	A2058	-9.565
DEXAMETHASONE	GELDANAMYCIN	A2058	3.7925
DEXAMETHASONE	L778123	A2058	-4.085
DEXAMETHASONE	LAPATINIB	A2058	-6.365
DEXAMETHASONE	MK-2206	A2058	-0.4249999999999999
DEXAMETHASONE	MK-4827	A2058	-10.735
DEXAMETHASONE	MK-5108	A2058	-9.1
DEXAMETHASONE	MK-8669	A2058	2.655
DEXAMETHASONE	MK-8776	A2058	-5.7675
DEXAMETHASONE	PD325901	A2058	2.5225
DEXAMETHASONE	SORAFENIB	A2058	11.45
DEXAMETHASONE	SUNITINIB	A2058	10.69
DEXAMETHASONE	TEMOZOLOMIDE	A2058	-11.325
DEXAMETHASONE	ZOLINZA	A2058	0.0100000000000002
DINACICLIB	MK-8776	A2058	2.785
DOXORUBICIN	ABT-888	A2058	-2.035
DOXORUBICIN	AZD1775	A2058	5.4175
DOXORUBICIN	BEZ-235	A2058	1.595
DOXORUBICIN	BORTEZOMIB	A2058	0.38
DOXORUBICIN	DASATINIB	A2058	0.7224999999999999
DOXORUBICIN	DINACICLIB	A2058	2.7025
DOXORUBICIN	ERLOTINIB	A2058	0.94
DOXORUBICIN	GELDANAMYCIN	A2058	4.5875
DOXORUBICIN	L778123	A2058	4.245
DOXORUBICIN	LAPATINIB	A2058	2.3175
DOXORUBICIN	MK-2206	A2058	0.9525
DOXORUBICIN	MK-4827	A2058	-0.6975
DOXORUBICIN	MK-5108	A2058	-3.965
DOXORUBICIN	MK-8669	A2058	-2.1975
DOXORUBICIN	MK-8776	A2058	0.4225000000000002
DOXORUBICIN	PD325901	A2058	2.4775
DOXORUBICIN	SORAFENIB	A2058	0.2174999999999999
DOXORUBICIN	SUNITINIB	A2058	1.275
DOXORUBICIN	TEMOZOLOMIDE	A2058	-0.8225
DOXORUBICIN	ZOLINZA	A2058	2.995
ERLOTINIB	ABT-888	A2058	2.9224999999999994
ERLOTINIB	BEZ-235	A2058	10.405
ERLOTINIB	BORTEZOMIB	A2058	-0.7899999999999999
ERLOTINIB	DASATINIB	A2058	12.0475
ERLOTINIB	DINACICLIB	A2058	5.6275
ERLOTINIB	GELDANAMYCIN	A2058	8.9025
ERLOTINIB	MK-8669	A2058	22.69
ERLOTINIB	MK-8776	A2058	9.62
ERLOTINIB	OXALIPLATIN	A2058	1.6700000000000002
ERLOTINIB	PD325901	A2058	7.51
ERLOTINIB	SN-38	A2058	10.32
ERLOTINIB	SORAFENIB	A2058	8.317499999999999
ERLOTINIB	TOPOTECAN	A2058	12.875000000000002
ETOPOSIDE	ABT-888	A2058	3.7325
ETOPOSIDE	AZD1775	A2058	12.3075
ETOPOSIDE	BEZ-235	A2058	5.5325
ETOPOSIDE	BORTEZOMIB	A2058	2.4825
ETOPOSIDE	DASATINIB	A2058	2.465
ETOPOSIDE	DINACICLIB	A2058	6.637499999999999
ETOPOSIDE	ERLOTINIB	A2058	3.5025
ETOPOSIDE	GELDANAMYCIN	A2058	13.325
ETOPOSIDE	LAPATINIB	A2058	3.5825
ETOPOSIDE	MK-2206	A2058	8.2725
ETOPOSIDE	MK-4827	A2058	4.57
ETOPOSIDE	MK-5108	A2058	5.8875
ETOPOSIDE	MK-8669	A2058	2.8625000000000003
ETOPOSIDE	MK-8776	A2058	14.3075
ETOPOSIDE	PD325901	A2058	6.88
ETOPOSIDE	SORAFENIB	A2058	3.7925
ETOPOSIDE	SUNITINIB	A2058	7.0775
ETOPOSIDE	TEMOZOLOMIDE	A2058	7.7875
ETOPOSIDE	ZOLINZA	A2058	8.075
GELDANAMYCIN	BEZ-235	A2058	12.11
GELDANAMYCIN	DINACICLIB	A2058	7.765
GELDANAMYCIN	MK-8776	A2058	18.4425
GELDANAMYCIN	OXALIPLATIN	A2058	10.989999999999998
GELDANAMYCIN	SN-38	A2058	12.8875
GELDANAMYCIN	SORAFENIB	A2058	16.91
GELDANAMYCIN	TOPOTECAN	A2058	11.9975
GEMCITABINE	ABT-888	A2058	5.215000000000001
GEMCITABINE	AZD1775	A2058	18.51
GEMCITABINE	BEZ-235	A2058	15.4575
GEMCITABINE	BORTEZOMIB	A2058	7.6
GEMCITABINE	DASATINIB	A2058	8.752500000000001
GEMCITABINE	DINACICLIB	A2058	11.5275
GEMCITABINE	ERLOTINIB	A2058	11.205000000000002
GEMCITABINE	GELDANAMYCIN	A2058	13.5
GEMCITABINE	LAPATINIB	A2058	8.9275
GEMCITABINE	MK-2206	A2058	16.5075
GEMCITABINE	MK-4827	A2058	6.4575
GEMCITABINE	MK-5108	A2058	17.1275
GEMCITABINE	MK-8669	A2058	14.23
GEMCITABINE	MK-8776	A2058	32.15625
GEMCITABINE	PD325901	A2058	12.8375
GEMCITABINE	SORAFENIB	A2058	3.8075
GEMCITABINE	SUNITINIB	A2058	13.655
GEMCITABINE	TEMOZOLOMIDE	A2058	12.5925
L778123	ABT-888	A2058	7.03
L778123	AZD1775	A2058	8.684999999999999
L778123	BEZ-235	A2058	14.9875
L778123	BORTEZOMIB	A2058	3.04
L778123	DASATINIB	A2058	16.317500000000003
L778123	DINACICLIB	A2058	11.48
L778123	ERLOTINIB	A2058	10.7925
L778123	ETOPOSIDE	A2058	11.2875
L778123	GELDANAMYCIN	A2058	15.67
L778123	GEMCITABINE	A2058	17.1725
L778123	LAPATINIB	A2058	15.505
L778123	MK-2206	A2058	17.560000000000002
L778123	MK-4827	A2058	14.84
L778123	MK-5108	A2058	22.2975
L778123	MK-8669	A2058	21.856250000000003
L778123	MK-8776	A2058	19.015
L778123	OXALIPLATIN	A2058	6.647499999999999
L778123	PD325901	A2058	11.235
L778123	SN-38	A2058	31.457500000000003
L778123	SORAFENIB	A2058	30.645000000000003
L778123	SUNITINIB	A2058	27.8025
L778123	TEMOZOLOMIDE	A2058	21.425
L778123	TOPOTECAN	A2058	23.33
L778123	VINORELBINE	A2058	10.01
L778123	ZOLINZA	A2058	14.7775
LAPATINIB	ABT-888	A2058	5.5875
LAPATINIB	BEZ-235	A2058	14.04
LAPATINIB	BORTEZOMIB	A2058	2.9125
LAPATINIB	DASATINIB	A2058	15.4925
LAPATINIB	DINACICLIB	A2058	10.6575
LAPATINIB	ERLOTINIB	A2058	9.62
LAPATINIB	GELDANAMYCIN	A2058	10.915
LAPATINIB	MK-2206	A2058	10.4875
LAPATINIB	MK-4827	A2058	5.855
LAPATINIB	MK-5108	A2058	5.665
LAPATINIB	MK-8669	A2058	11.2575
LAPATINIB	MK-8776	A2058	9.2275
LAPATINIB	OXALIPLATIN	A2058	8.274999999999999
LAPATINIB	PD325901	A2058	27.3025
LAPATINIB	SN-38	A2058	12.89
LAPATINIB	SORAFENIB	A2058	19.67
LAPATINIB	TOPOTECAN	A2058	9.46
METFORMIN	ABT-888	A2058	13.88
METFORMIN	AZD1775	A2058	6.345000000000001
METFORMIN	BEZ-235	A2058	14.945
METFORMIN	BORTEZOMIB	A2058	-1.5025
METFORMIN	DASATINIB	A2058	3.1
METFORMIN	DINACICLIB	A2058	3.1674999999999995
METFORMIN	ERLOTINIB	A2058	1.75
METFORMIN	GELDANAMYCIN	A2058	7.469999999999999
METFORMIN	L778123	A2058	10.47
METFORMIN	LAPATINIB	A2058	7.825000000000001
METFORMIN	MK-2206	A2058	8.77
METFORMIN	MK-4827	A2058	1.3425
METFORMIN	MK-5108	A2058	4.994999999999999
METFORMIN	MK-8669	A2058	11.62
METFORMIN	MK-8776	A2058	-3.3675000000000006
METFORMIN	PD325901	A2058	20.815
METFORMIN	SORAFENIB	A2058	15.777499999999998
METFORMIN	SUNITINIB	A2058	10.3225
METFORMIN	TEMOZOLOMIDE	A2058	-0.0324999999999999
METFORMIN	ZOLINZA	A2058	8.7725
METHOTREXATE	ABT-888	A2058	-9.004999999999999
METHOTREXATE	AZD1775	A2058	-0.0124999999999999
METHOTREXATE	BEZ-235	A2058	-6.0175
METHOTREXATE	BORTEZOMIB	A2058	-4.202500000000001
METHOTREXATE	DASATINIB	A2058	1.8975
METHOTREXATE	DINACICLIB	A2058	4.145
METHOTREXATE	ERLOTINIB	A2058	0.205
METHOTREXATE	GELDANAMYCIN	A2058	-5.8575
METHOTREXATE	L778123	A2058	-1.8125
METHOTREXATE	LAPATINIB	A2058	-2.72
METHOTREXATE	MK-2206	A2058	0.9225
METHOTREXATE	MK-4827	A2058	-2.225
METHOTREXATE	MK-5108	A2058	-6.445
METHOTREXATE	MK-8669	A2058	-4.885
METHOTREXATE	MK-8776	A2058	0.5425
METHOTREXATE	PD325901	A2058	-3.585
METHOTREXATE	SORAFENIB	A2058	-1.765
METHOTREXATE	SUNITINIB	A2058	-1.4225
METHOTREXATE	TEMOZOLOMIDE	A2058	-5.955
METHOTREXATE	ZOLINZA	A2058	-8.7325
MITOMYCINE	ABT-888	A2058	13.135
MITOMYCINE	AZD1775	A2058	18.9825
MITOMYCINE	BEZ-235	A2058	13.165
MITOMYCINE	BORTEZOMIB	A2058	7.67
MITOMYCINE	DASATINIB	A2058	17.217499999999998
MITOMYCINE	DINACICLIB	A2058	10.910000000000002
MITOMYCINE	ERLOTINIB	A2058	-9.9925
MITOMYCINE	GELDANAMYCIN	A2058	16.2175
MITOMYCINE	L778123	A2058	5.575
MITOMYCINE	LAPATINIB	A2058	18.285
MITOMYCINE	MK-2206	A2058	11.9125
MITOMYCINE	MK-4827	A2058	10.28
MITOMYCINE	MK-5108	A2058	9.7675
MITOMYCINE	MK-8669	A2058	9.57
MITOMYCINE	MK-8776	A2058	15.2975
MITOMYCINE	PD325901	A2058	19.7225
MITOMYCINE	SORAFENIB	A2058	-33.55499999999999
MITOMYCINE	SUNITINIB	A2058	15.74
MITOMYCINE	TEMOZOLOMIDE	A2058	11.6575
MITOMYCINE	ZOLINZA	A2058	18.8525
MK-2206	ABT-888	A2058	6.1375
MK-2206	BEZ-235	A2058	13.66
MK-2206	BORTEZOMIB	A2058	-1.73
MK-2206	DASATINIB	A2058	20.7125
MK-2206	DINACICLIB	A2058	3.5525
MK-2206	ERLOTINIB	A2058	7.03625
MK-2206	GELDANAMYCIN	A2058	8.7
MK-2206	MK-8669	A2058	15.81875
MK-2206	MK-8776	A2058	5.775
MK-2206	OXALIPLATIN	A2058	1.2574999999999998
MK-2206	PD325901	A2058	16.845
MK-2206	SN-38	A2058	9.22
MK-2206	SORAFENIB	A2058	13.81
MK-2206	TOPOTECAN	A2058	8.1425
MK-4541	5-FU	A2058	2.565
MK-4541	ABT-888	A2058	4.282500000000001
MK-4541	AZD1775	A2058	2.1825
MK-4541	BEZ-235	A2058	2.5775
MK-4541	BORTEZOMIB	A2058	-1.4600000000000002
MK-4541	CARBOPLATIN	A2058	-0.2875
MK-4541	CYCLOPHOSPHAMIDE	A2058	-3.2125
MK-4541	DASATINIB	A2058	2.72
MK-4541	DEXAMETHASONE	A2058	-12.142499999999998
MK-4541	DINACICLIB	A2058	2.5925
MK-4541	DOXORUBICIN	A2058	0.945
MK-4541	ERLOTINIB	A2058	0.5175000000000001
MK-4541	ETOPOSIDE	A2058	3.135
MK-4541	GELDANAMYCIN	A2058	3.6
MK-4541	GEMCITABINE	A2058	4.7700000000000005
MK-4541	L778123	A2058	6.369999999999999
MK-4541	LAPATINIB	A2058	0.73
MK-4541	METFORMIN	A2058	1.12
MK-4541	METHOTREXATE	A2058	-7.012499999999999
MK-4541	MITOMYCINE	A2058	13.995
MK-4541	MK-2206	A2058	-0.0749999999999999
MK-4541	MK-4827	A2058	-0.2924999999999998
MK-4541	MK-5108	A2058	1.4275
MK-4541	MK-8669	A2058	2.335
MK-4541	MK-8776	A2058	-1.5825
MK-4541	MRK-003	A2058	-1.375
MK-4541	OXALIPLATIN	A2058	-3.865
MK-4541	PACLITAXEL	A2058	-4.0325
MK-4541	PD325901	A2058	5.13
MK-4541	SN-38	A2058	3.6475
MK-4541	SORAFENIB	A2058	5.635
MK-4541	SUNITINIB	A2058	8.74
MK-4541	TEMOZOLOMIDE	A2058	0.2075
MK-4541	TOPOTECAN	A2058	3.8425
MK-4541	VINBLASTINE	A2058	-5.262499999999999
MK-4541	VINORELBINE	A2058	-6.0600000000000005
MK-4541	ZOLINZA	A2058	-0.575
MK-4827	ABT-888	A2058	-7.895
MK-4827	BEZ-235	A2058	4.029999999999999
MK-4827	BORTEZOMIB	A2058	1.27
MK-4827	DASATINIB	A2058	2.9025
MK-4827	DINACICLIB	A2058	4.3025
MK-4827	ERLOTINIB	A2058	4.51
MK-4827	GELDANAMYCIN	A2058	13.42
MK-4827	MK-2206	A2058	15.8075
MK-4827	MK-8669	A2058	5.9375
MK-4827	MK-8776	A2058	16.825
MK-4827	OXALIPLATIN	A2058	7.8075
MK-4827	PD325901	A2058	1.5325000000000002
MK-4827	SN-38	A2058	8.735
MK-4827	SORAFENIB	A2058	-1.17
MK-4827	TOPOTECAN	A2058	5.395
MK-5108	ABT-888	A2058	5.4175
MK-5108	BEZ-235	A2058	7.535
MK-5108	BORTEZOMIB	A2058	-1.765
MK-5108	DASATINIB	A2058	8.73
MK-5108	DINACICLIB	A2058	2.225
MK-5108	ERLOTINIB	A2058	6.775
MK-5108	GELDANAMYCIN	A2058	2.68
MK-5108	MK-2206	A2058	5.1975
MK-5108	MK-4827	A2058	16.917500000000004
MK-5108	MK-8669	A2058	7.987500000000001
MK-5108	MK-8776	A2058	-1.025
MK-5108	OXALIPLATIN	A2058	0.6674999999999999
MK-5108	PD325901	A2058	3.665
MK-5108	SN-38	A2058	4.3375
MK-5108	SORAFENIB	A2058	6.074999999999999
MK-5108	TOPOTECAN	A2058	11.335
MK-8669	BEZ-235	A2058	22.8075
MK-8669	DINACICLIB	A2058	6.5375000000000005
MK-8669	GELDANAMYCIN	A2058	10.475
MK-8669	MK-8776	A2058	14.845
MK-8669	OXALIPLATIN	A2058	4.08
MK-8669	SN-38	A2058	6.095000000000001
MK-8669	SORAFENIB	A2058	10.9025
MK-8669	TOPOTECAN	A2058	1.1375000000000002
MRK-003	5-FU	A2058	16.3225
MRK-003	ABT-888	A2058	9.185
MRK-003	AZD1775	A2058	7.9575
MRK-003	BEZ-235	A2058	8.5175
MRK-003	BORTEZOMIB	A2058	2.6975
MRK-003	CARBOPLATIN	A2058	8.4625
MRK-003	CYCLOPHOSPHAMIDE	A2058	1.51
MRK-003	DASATINIB	A2058	11.5
MRK-003	DEXAMETHASONE	A2058	-0.3474999999999999
MRK-003	DINACICLIB	A2058	2.115
MRK-003	DOXORUBICIN	A2058	0.4974999999999999
MRK-003	ERLOTINIB	A2058	5.09
MRK-003	ETOPOSIDE	A2058	3.7725
MRK-003	GELDANAMYCIN	A2058	5.9575
MRK-003	GEMCITABINE	A2058	8.9575
MRK-003	L778123	A2058	10.54
MRK-003	LAPATINIB	A2058	12.55375
MRK-003	METFORMIN	A2058	11.515
MRK-003	METHOTREXATE	A2058	-2.7475000000000005
MRK-003	MITOMYCINE	A2058	8.4825
MRK-003	MK-2206	A2058	11.745
MRK-003	MK-4827	A2058	14.085
MRK-003	MK-5108	A2058	0.2025
MRK-003	MK-8669	A2058	11.1875
MRK-003	MK-8776	A2058	3.3975
MRK-003	OXALIPLATIN	A2058	7.8775
MRK-003	PACLITAXEL	A2058	3.075
MRK-003	PD325901	A2058	11.935
MRK-003	SN-38	A2058	8.935
MRK-003	SORAFENIB	A2058	16.6925
MRK-003	SUNITINIB	A2058	10.302499999999998
MRK-003	TEMOZOLOMIDE	A2058	7.07
MRK-003	TOPOTECAN	A2058	13.565
MRK-003	VINBLASTINE	A2058	10.64
MRK-003	VINORELBINE	A2058	5.092499999999999
MRK-003	ZOLINZA	A2058	4.879999999999999
OXALIPLATIN	DINACICLIB	A2058	4.3275
OXALIPLATIN	MK-8776	A2058	14.085
OXALIPLATIN	SORAFENIB	A2058	4.755000000000001
PACLITAXEL	ABT-888	A2058	4.487500000000001
PACLITAXEL	AZD1775	A2058	3.75
PACLITAXEL	BEZ-235	A2058	3.15
PACLITAXEL	BORTEZOMIB	A2058	0.855
PACLITAXEL	DASATINIB	A2058	4.239999999999999
PACLITAXEL	DINACICLIB	A2058	1.91
PACLITAXEL	ERLOTINIB	A2058	0.775
PACLITAXEL	GELDANAMYCIN	A2058	2.9675
PACLITAXEL	L778123	A2058	11.745
PACLITAXEL	LAPATINIB	A2058	1.9275
PACLITAXEL	MK-2206	A2058	2.935
PACLITAXEL	MK-4827	A2058	-0.445
PACLITAXEL	MK-5108	A2058	11.0325
PACLITAXEL	MK-8669	A2058	2.6975
PACLITAXEL	MK-8776	A2058	2.15
PACLITAXEL	PD325901	A2058	8.2025
PACLITAXEL	SORAFENIB	A2058	2.6075
PACLITAXEL	SUNITINIB	A2058	7.502499999999999
PACLITAXEL	TEMOZOLOMIDE	A2058	2.44
PACLITAXEL	ZOLINZA	A2058	1.5475
PD325901	ABT-888	A2058	5.8725000000000005
PD325901	BEZ-235	A2058	15.7
PD325901	BORTEZOMIB	A2058	1.7175
PD325901	DASATINIB	A2058	6.795
PD325901	DINACICLIB	A2058	6.795
PD325901	GELDANAMYCIN	A2058	2.165
PD325901	MK-8669	A2058	16.5775
PD325901	MK-8776	A2058	6.867500000000001
PD325901	OXALIPLATIN	A2058	7.182500000000001
PD325901	SN-38	A2058	3.7375
PD325901	SORAFENIB	A2058	26.2525
PD325901	TOPOTECAN	A2058	5.955
SN-38	DINACICLIB	A2058	6.62
SN-38	MK-8776	A2058	8.77
SN-38	SORAFENIB	A2058	10.1875
SORAFENIB	DINACICLIB	A2058	10.2225
SORAFENIB	MK-8776	A2058	7.147499999999999
SUNITINIB	ABT-888	A2058	14.8825
SUNITINIB	AZD1775	A2058	13.677499999999998
SUNITINIB	BEZ-235	A2058	20.0025
SUNITINIB	BORTEZOMIB	A2058	4.42
SUNITINIB	DASATINIB	A2058	21.65
SUNITINIB	DINACICLIB	A2058	15.195
SUNITINIB	ERLOTINIB	A2058	17.47
SUNITINIB	GELDANAMYCIN	A2058	13.775
SUNITINIB	LAPATINIB	A2058	27.03
SUNITINIB	MK-2206	A2058	20.1975
SUNITINIB	MK-4827	A2058	7.34
SUNITINIB	MK-5108	A2058	7.0025
SUNITINIB	MK-8669	A2058	26.9525
SUNITINIB	MK-8776	A2058	21.165
SUNITINIB	OXALIPLATIN	A2058	9.52
SUNITINIB	PD325901	A2058	15.587500000000002
SUNITINIB	SN-38	A2058	10.8075
SUNITINIB	SORAFENIB	A2058	13.3675
SUNITINIB	TEMOZOLOMIDE	A2058	8.9175
SUNITINIB	TOPOTECAN	A2058	6.8675
TEMOZOLOMIDE	ABT-888	A2058	16.2225
TEMOZOLOMIDE	AZD1775	A2058	19.57
TEMOZOLOMIDE	BEZ-235	A2058	7.545
TEMOZOLOMIDE	BORTEZOMIB	A2058	3.8575
TEMOZOLOMIDE	DASATINIB	A2058	8.5925
TEMOZOLOMIDE	DINACICLIB	A2058	6.955
TEMOZOLOMIDE	ERLOTINIB	A2058	9.0625
TEMOZOLOMIDE	GELDANAMYCIN	A2058	15.885000000000002
TEMOZOLOMIDE	LAPATINIB	A2058	8.385
TEMOZOLOMIDE	MK-2206	A2058	7.817500000000001
TEMOZOLOMIDE	MK-4827	A2058	10.555
TEMOZOLOMIDE	MK-5108	A2058	3.105
TEMOZOLOMIDE	MK-8669	A2058	6.7175
TEMOZOLOMIDE	MK-8776	A2058	30.71625
TEMOZOLOMIDE	OXALIPLATIN	A2058	6.6175
TEMOZOLOMIDE	PD325901	A2058	13.6125
TEMOZOLOMIDE	SN-38	A2058	5.492500000000001
TEMOZOLOMIDE	SORAFENIB	A2058	4.8375
TEMOZOLOMIDE	TOPOTECAN	A2058	6.065
TOPOTECAN	BEZ-235	A2058	6.745
TOPOTECAN	DINACICLIB	A2058	6.1075
TOPOTECAN	MK-8776	A2058	14.625
TOPOTECAN	SORAFENIB	A2058	7.375
VINBLASTINE	ABT-888	A2058	-10.665
VINBLASTINE	AZD1775	A2058	5.605
VINBLASTINE	BEZ-235	A2058	6.345
VINBLASTINE	BORTEZOMIB	A2058	2.15
VINBLASTINE	DASATINIB	A2058	0.2525
VINBLASTINE	DINACICLIB	A2058	0.0399999999999998
VINBLASTINE	ERLOTINIB	A2058	10.7875
VINBLASTINE	GELDANAMYCIN	A2058	2.8625
VINBLASTINE	L778123	A2058	21.8875
VINBLASTINE	LAPATINIB	A2058	3.2375
VINBLASTINE	MK-2206	A2058	-5.045
VINBLASTINE	MK-4827	A2058	0.6
VINBLASTINE	MK-5108	A2058	4.1775
VINBLASTINE	MK-8669	A2058	3.55
VINBLASTINE	MK-8776	A2058	-1.8125
VINBLASTINE	PD325901	A2058	0.6174999999999999
VINBLASTINE	SORAFENIB	A2058	16.0975
VINBLASTINE	SUNITINIB	A2058	10.7825
VINBLASTINE	TEMOZOLOMIDE	A2058	-6.8
VINBLASTINE	ZOLINZA	A2058	0.8600000000000001
VINORELBINE	ABT-888	A2058	-0.0049999999999998
VINORELBINE	AZD1775	A2058	-0.7275
VINORELBINE	BEZ-235	A2058	4.3725000000000005
VINORELBINE	BORTEZOMIB	A2058	-1.525
VINORELBINE	DASATINIB	A2058	0.0849999999999999
VINORELBINE	DINACICLIB	A2058	3.2725
VINORELBINE	ERLOTINIB	A2058	2.4650000000000003
VINORELBINE	GELDANAMYCIN	A2058	4.21
VINORELBINE	LAPATINIB	A2058	0.8175000000000002
VINORELBINE	MK-2206	A2058	-0.2875000000000001
VINORELBINE	MK-4827	A2058	-7.312500000000001
VINORELBINE	MK-5108	A2058	-7.0600000000000005
VINORELBINE	MK-8669	A2058	0.8124999999999999
VINORELBINE	MK-8776	A2058	-3.65
