drugname1	drugname2	cell_line	loewe
CYCLOPHOSPHAMIDE	BEZ-235	A2058	12.7461879998
CYCLOPHOSPHAMIDE	BORTEZOMIB	A2058	4.609111485
CYCLOPHOSPHAMIDE	DASATINIB	A2058	10.3791196623
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	12.4027520316
CYCLOPHOSPHAMIDE	ERLOTINIB	A2058	-2.4771009265
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	2.4735481235
CYCLOPHOSPHAMIDE	L778123	A2058	3.8652029459
CYCLOPHOSPHAMIDE	LAPATINIB	A2058	-2.7797634582
CYCLOPHOSPHAMIDE	MK-2206	A2058	10.1727056614
CYCLOPHOSPHAMIDE	MK-4827	A2058	8.5102584655
CYCLOPHOSPHAMIDE	MK-5108	A2058	5.6665922146000005
CYCLOPHOSPHAMIDE	MK-8669	A2058	20.1973205406
CYCLOPHOSPHAMIDE	MK-8776	A2058	6.2135497933
CYCLOPHOSPHAMIDE	PD325901	A2058	-1.8430109412
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	7.6373593747
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	9.1710376846
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	18.0784282325
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	5.5494548264
DASATINIB	ABT-888	A2058	15.352585121
DASATINIB	BEZ-235	A2058	70.1804783863
DASATINIB	DINACICLIB	A2058	48.917163590600005
DASATINIB	GELDANAMYCIN	A2058	-6.1123817221
DASATINIB	MK-8669	A2058	84.4453477137
DASATINIB	MK-8776	A2058	56.6710870957
DASATINIB	OXALIPLATIN	A2058	25.6728947281
DASATINIB	SN-38	A2058	34.0149622635
DASATINIB	SORAFENIB	A2058	36.3294355627
DASATINIB	TOPOTECAN	A2058	6.4764816551
DEXAMETHASONE	ABT-888	A2058	-14.702384611
DEXAMETHASONE	AZD1775	A2058	-6.0379847151
DEXAMETHASONE	BEZ-235	A2058	13.5941902785
DEXAMETHASONE	BORTEZOMIB	A2058	-1.8765546423
DEXAMETHASONE	DASATINIB	A2058	-0.1787357598
DEXAMETHASONE	DINACICLIB	A2058	-11.4082575223
DEXAMETHASONE	ERLOTINIB	A2058	-18.8279417049
DEXAMETHASONE	GELDANAMYCIN	A2058	-0.4018303213
DEXAMETHASONE	L778123	A2058	-5.0183519054
DEXAMETHASONE	LAPATINIB	A2058	-16.237082531800002
DEXAMETHASONE	MK-2206	A2058	-0.5481215019
DEXAMETHASONE	MK-4827	A2058	-17.630914321600002
DEXAMETHASONE	MK-5108	A2058	-9.8334660478
DEXAMETHASONE	MK-8669	A2058	10.7013116867
DEXAMETHASONE	MK-8776	A2058	-6.365586469099999
DEXAMETHASONE	PD325901	A2058	3.5088316503
DEXAMETHASONE	SORAFENIB	A2058	11.6190157067
DEXAMETHASONE	SUNITINIB	A2058	9.0265014595
DEXAMETHASONE	TEMOZOLOMIDE	A2058	-31.4551128567
DEXAMETHASONE	ZOLINZA	A2058	-12.4407141801
DINACICLIB	MK-8776	A2058	6.3752259787
DOXORUBICIN	ABT-888	A2058	-7.8502589898
DOXORUBICIN	AZD1775	A2058	9.2662883626
DOXORUBICIN	BEZ-235	A2058	2.5594016488
DOXORUBICIN	BORTEZOMIB	A2058	-6.7107859624
DOXORUBICIN	DASATINIB	A2058	2.4428538849
DOXORUBICIN	DINACICLIB	A2058	-3.0113840238
DOXORUBICIN	ERLOTINIB	A2058	3.0785296833
DOXORUBICIN	GELDANAMYCIN	A2058	8.7563453001
DOXORUBICIN	L778123	A2058	10.0811285083
DOXORUBICIN	LAPATINIB	A2058	6.1319998153
DOXORUBICIN	MK-2206	A2058	1.8203104426
DOXORUBICIN	MK-4827	A2058	-12.5430883587
DOXORUBICIN	MK-5108	A2058	-6.2110304888
DOXORUBICIN	MK-8669	A2058	-10.4902325429
DOXORUBICIN	MK-8776	A2058	16.6872304752
DOXORUBICIN	PD325901	A2058	12.3926036226
DOXORUBICIN	SORAFENIB	A2058	-4.8625902988
DOXORUBICIN	SUNITINIB	A2058	-3.1660455861
DOXORUBICIN	TEMOZOLOMIDE	A2058	-8.5362249426
DOXORUBICIN	ZOLINZA	A2058	4.5642394165
ERLOTINIB	ABT-888	A2058	9.6671129656
ERLOTINIB	BEZ-235	A2058	30.4472347297
ERLOTINIB	BORTEZOMIB	A2058	-1.0290095733
ERLOTINIB	DASATINIB	A2058	50.8561267311
ERLOTINIB	DINACICLIB	A2058	0.8405274970000001
ERLOTINIB	GELDANAMYCIN	A2058	19.8583289401
ERLOTINIB	MK-8669	A2058	52.2617159832
ERLOTINIB	MK-8776	A2058	24.1294701352
ERLOTINIB	OXALIPLATIN	A2058	-14.4481460473
ERLOTINIB	PD325901	A2058	6.4222052802
ERLOTINIB	SN-38	A2058	14.2345543965
ERLOTINIB	SORAFENIB	A2058	-1.6565454253
ERLOTINIB	TOPOTECAN	A2058	20.6595466511
ETOPOSIDE	ABT-888	A2058	1.9172216639
ETOPOSIDE	AZD1775	A2058	15.4450109447
ETOPOSIDE	BEZ-235	A2058	2.8340783444
ETOPOSIDE	BORTEZOMIB	A2058	-6.6714341451
ETOPOSIDE	DASATINIB	A2058	11.2051228578
ETOPOSIDE	DINACICLIB	A2058	-6.5434303497
ETOPOSIDE	ERLOTINIB	A2058	1.9880474087
ETOPOSIDE	GELDANAMYCIN	A2058	31.0615666545
ETOPOSIDE	LAPATINIB	A2058	-0.8609223723
ETOPOSIDE	MK-2206	A2058	23.8414603018
ETOPOSIDE	MK-4827	A2058	-1.3765989569
ETOPOSIDE	MK-5108	A2058	-0.7154277823999999
ETOPOSIDE	MK-8669	A2058	-4.1015614091
ETOPOSIDE	MK-8776	A2058	57.6790160624
ETOPOSIDE	PD325901	A2058	22.1734878239
ETOPOSIDE	SORAFENIB	A2058	-12.1550362495
ETOPOSIDE	SUNITINIB	A2058	-6.9721696863
ETOPOSIDE	TEMOZOLOMIDE	A2058	13.6477252971
ETOPOSIDE	ZOLINZA	A2058	3.4522398712
GELDANAMYCIN	BEZ-235	A2058	34.5733358528
GELDANAMYCIN	DINACICLIB	A2058	5.9678757799
GELDANAMYCIN	MK-8776	A2058	51.4196349082
GELDANAMYCIN	OXALIPLATIN	A2058	16.34039127
GELDANAMYCIN	SN-38	A2058	19.0185063841
GELDANAMYCIN	SORAFENIB	A2058	8.8068852279
GELDANAMYCIN	TOPOTECAN	A2058	22.3865856546
GEMCITABINE	ABT-888	A2058	-0.5367336044
GEMCITABINE	AZD1775	A2058	15.95333660155
GEMCITABINE	BEZ-235	A2058	13.2309693062
GEMCITABINE	BORTEZOMIB	A2058	-3.1185354264
GEMCITABINE	DASATINIB	A2058	9.7533108463
GEMCITABINE	DINACICLIB	A2058	-1.9476444593
GEMCITABINE	ERLOTINIB	A2058	4.2865172217000005
GEMCITABINE	GELDANAMYCIN	A2058	8.9984178543
GEMCITABINE	LAPATINIB	A2058	-0.1023817456
GEMCITABINE	MK-2206	A2058	19.2467621185
GEMCITABINE	MK-4827	A2058	-3.7686043288
GEMCITABINE	MK-5108	A2058	6.5846946018
GEMCITABINE	MK-8669	A2058	16.2478514617
GEMCITABINE	MK-8776	A2058	77.4605389165
GEMCITABINE	PD325901	A2058	8.2015114798
GEMCITABINE	SORAFENIB	A2058	-15.0148790625
GEMCITABINE	SUNITINIB	A2058	-2.4779876431
GEMCITABINE	TEMOZOLOMIDE	A2058	9.5521043881
L778123	ABT-888	A2058	6.1419773206
L778123	AZD1775	A2058	6.042479323299999
L778123	BEZ-235	A2058	33.0346592892
L778123	BORTEZOMIB	A2058	6.174430599299999
L778123	DASATINIB	A2058	38.9468173946
L778123	DINACICLIB	A2058	12.7424839147
L778123	ERLOTINIB	A2058	9.9628815352
L778123	ETOPOSIDE	A2058	24.9439129015
L778123	GELDANAMYCIN	A2058	25.8107970161
L778123	GEMCITABINE	A2058	10.3514775815
L778123	LAPATINIB	A2058	15.567887115
L778123	MK-2206	A2058	27.8589690382
L778123	MK-4827	A2058	32.1703331768
L778123	MK-5108	A2058	25.4027630952
L778123	MK-8669	A2058	46.45451740575
L778123	MK-8776	A2058	34.4043337241
L778123	OXALIPLATIN	A2058	0.3519313517
L778123	PD325901	A2058	9.0945023239
L778123	SN-38	A2058	40.8106020289
L778123	SORAFENIB	A2058	23.1874577737
L778123	SUNITINIB	A2058	21.0205887367
L778123	TEMOZOLOMIDE	A2058	38.5390724898
L778123	TOPOTECAN	A2058	45.103200011400006
L778123	VINORELBINE	A2058	24.0346419433
L778123	ZOLINZA	A2058	9.3180961428
LAPATINIB	ABT-888	A2058	7.0327534722000005
LAPATINIB	BEZ-235	A2058	34.8835732671
LAPATINIB	BORTEZOMIB	A2058	14.5104381684
LAPATINIB	DASATINIB	A2058	53.534424521800005
LAPATINIB	DINACICLIB	A2058	12.2502026071
LAPATINIB	ERLOTINIB	A2058	-1.7745489064
LAPATINIB	GELDANAMYCIN	A2058	12.5474768449
LAPATINIB	MK-2206	A2058	41.77696806285
LAPATINIB	MK-4827	A2058	17.424604928599997
LAPATINIB	MK-5108	A2058	-0.5941800601
LAPATINIB	MK-8669	A2058	32.537069207600005
LAPATINIB	MK-8776	A2058	22.634552405700003
LAPATINIB	OXALIPLATIN	A2058	-0.9222425961
LAPATINIB	PD325901	A2058	44.5395978501
LAPATINIB	SN-38	A2058	22.2032431557
LAPATINIB	SORAFENIB	A2058	18.2991878509
LAPATINIB	TOPOTECAN	A2058	22.0435075766
METFORMIN	ABT-888	A2058	8.236009194
METFORMIN	AZD1775	A2058	8.488617477
METFORMIN	BEZ-235	A2058	28.1688860793
METFORMIN	BORTEZOMIB	A2058	-20.4669230884
METFORMIN	DASATINIB	A2058	17.0314701547
METFORMIN	DINACICLIB	A2058	2.4158587026
METFORMIN	ERLOTINIB	A2058	4.9388424973000005
METFORMIN	GELDANAMYCIN	A2058	3.1267915116000005
METFORMIN	L778123	A2058	8.3082311475
METFORMIN	LAPATINIB	A2058	10.7432868809
METFORMIN	MK-2206	A2058	12.7566739645
METFORMIN	MK-4827	A2058	10.7040637514
METFORMIN	MK-5108	A2058	2.6047924437
METFORMIN	MK-8669	A2058	26.631513470500003
METFORMIN	MK-8776	A2058	0.133987742
METFORMIN	PD325901	A2058	26.4094775982
METFORMIN	SORAFENIB	A2058	16.7756024511
METFORMIN	SUNITINIB	A2058	7.3881584045
METFORMIN	TEMOZOLOMIDE	A2058	0.8660648306000001
METFORMIN	ZOLINZA	A2058	6.478402999299999
METHOTREXATE	ABT-888	A2058	-20.9261154411
METHOTREXATE	AZD1775	A2058	-15.7931996972
METHOTREXATE	BEZ-235	A2058	-38.0121296961
METHOTREXATE	BORTEZOMIB	A2058	-28.0330924798
METHOTREXATE	DASATINIB	A2058	-9.8923728634
METHOTREXATE	DINACICLIB	A2058	-13.7468173916
METHOTREXATE	ERLOTINIB	A2058	-7.975537017000001
METHOTREXATE	GELDANAMYCIN	A2058	-44.185155928
METHOTREXATE	L778123	A2058	-13.8477118071
METHOTREXATE	LAPATINIB	A2058	-15.231828394
METHOTREXATE	MK-2206	A2058	-11.8900874783
METHOTREXATE	MK-4827	A2058	-25.7708309529
METHOTREXATE	MK-5108	A2058	-22.6451305694
METHOTREXATE	MK-8669	A2058	-21.6690657253
METHOTREXATE	MK-8776	A2058	-10.8245937728
METHOTREXATE	PD325901	A2058	-19.3802787068
METHOTREXATE	SORAFENIB	A2058	-10.3285896176
METHOTREXATE	SUNITINIB	A2058	-14.3565107625
METHOTREXATE	TEMOZOLOMIDE	A2058	-41.2273250342
METHOTREXATE	ZOLINZA	A2058	-33.7833756444
MITOMYCINE	ABT-888	A2058	5.7542012538
MITOMYCINE	AZD1775	A2058	12.667356881400002
MITOMYCINE	BEZ-235	A2058	12.246506683900002
MITOMYCINE	BORTEZOMIB	A2058	1.1356064078
MITOMYCINE	DASATINIB	A2058	17.7293331286
MITOMYCINE	DINACICLIB	A2058	0.2483327551
MITOMYCINE	ERLOTINIB	A2058	-78.5288674034
MITOMYCINE	GELDANAMYCIN	A2058	20.3740655263
MITOMYCINE	L778123	A2058	-11.5244416217
MITOMYCINE	LAPATINIB	A2058	23.3750507515
MITOMYCINE	MK-2206	A2058	3.0733138148
MITOMYCINE	MK-4827	A2058	0.9083497833
MITOMYCINE	MK-5108	A2058	0.2622161137
MITOMYCINE	MK-8669	A2058	-8.001586225399999
MITOMYCINE	MK-8776	A2058	59.97535377525
MITOMYCINE	PD325901	A2058	31.465224899000003
MITOMYCINE	SORAFENIB	A2058	-69.3542550448
MITOMYCINE	SUNITINIB	A2058	-0.3326976913
MITOMYCINE	TEMOZOLOMIDE	A2058	1.2389509791
MITOMYCINE	ZOLINZA	A2058	15.5271449964
MK-2206	ABT-888	A2058	17.2646060268
MK-2206	BEZ-235	A2058	57.2908346809
MK-2206	BORTEZOMIB	A2058	-0.3858569755
MK-2206	DASATINIB	A2058	89.36773897120001
MK-2206	DINACICLIB	A2058	9.9732875067
MK-2206	ERLOTINIB	A2058	21.79260474125
MK-2206	GELDANAMYCIN	A2058	18.7923821606
MK-2206	MK-8669	A2058	51.3989688437
MK-2206	MK-8776	A2058	20.1084309197
MK-2206	OXALIPLATIN	A2058	-9.9869709824
MK-2206	PD325901	A2058	45.152886764
MK-2206	SN-38	A2058	17.1730240469
MK-2206	SORAFENIB	A2058	15.7666393124
MK-2206	TOPOTECAN	A2058	9.8021510298
MK-4541	5-FU	A2058	2.4828575825
MK-4541	ABT-888	A2058	5.85721376
MK-4541	AZD1775	A2058	10.807659392
MK-4541	BEZ-235	A2058	12.1023178363
MK-4541	BORTEZOMIB	A2058	2.197570357
MK-4541	CARBOPLATIN	A2058	1.2919209587
MK-4541	CYCLOPHOSPHAMIDE	A2058	0.8648896578
MK-4541	DASATINIB	A2058	26.322523939
MK-4541	DEXAMETHASONE	A2058	-17.567998263
MK-4541	DINACICLIB	A2058	1.46369972
MK-4541	DOXORUBICIN	A2058	1.0098693239
MK-4541	ERLOTINIB	A2058	4.6921310376
MK-4541	ETOPOSIDE	A2058	4.5633320494
MK-4541	GELDANAMYCIN	A2058	-1.7506435880000002
MK-4541	GEMCITABINE	A2058	2.1154547064
MK-4541	L778123	A2058	1.7548423996
MK-4541	LAPATINIB	A2058	4.7127554993
MK-4541	METFORMIN	A2058	4.3729493106
MK-4541	METHOTREXATE	A2058	-20.84096181
MK-4541	MITOMYCINE	A2058	7.8426856837
MK-4541	MK-2206	A2058	7.152745613
MK-4541	MK-4827	A2058	8.0662025389
MK-4541	MK-5108	A2058	2.8899000442
MK-4541	MK-8669	A2058	21.6416924067
MK-4541	MK-8776	A2058	1.6744502645
MK-4541	MRK-003	A2058	1.3248237559
MK-4541	OXALIPLATIN	A2058	-2.4253938611000003
MK-4541	PACLITAXEL	A2058	-11.7857606838
MK-4541	PD325901	A2058	3.2932204523000004
MK-4541	SN-38	A2058	13.1396285625
MK-4541	SORAFENIB	A2058	10.2315901869
MK-4541	SUNITINIB	A2058	9.0249743652
MK-4541	TEMOZOLOMIDE	A2058	3.3124111723
MK-4541	TOPOTECAN	A2058	4.9093753351
MK-4541	VINBLASTINE	A2058	33.8534471253
MK-4541	VINORELBINE	A2058	-18.8844755006
MK-4541	ZOLINZA	A2058	-3.0044059812
MK-4827	ABT-888	A2058	-21.7095850302
MK-4827	BEZ-235	A2058	0.5731306047
MK-4827	BORTEZOMIB	A2058	1.361695813
MK-4827	DASATINIB	A2058	15.1210535378
MK-4827	DINACICLIB	A2058	-3.3243916759
MK-4827	ERLOTINIB	A2058	13.739879124100002
MK-4827	GELDANAMYCIN	A2058	33.0257256486
MK-4827	MK-2206	A2058	49.6182605652
MK-4827	MK-8669	A2058	10.3410755451
MK-4827	MK-8776	A2058	59.7195734534
MK-4827	OXALIPLATIN	A2058	17.4993954527
MK-4827	PD325901	A2058	6.3581841416
MK-4827	SN-38	A2058	20.63773682695
MK-4827	SORAFENIB	A2058	-11.7275598816
MK-4827	TOPOTECAN	A2058	-1.5630949819
MK-5108	ABT-888	A2058	14.4110973025
MK-5108	BEZ-235	A2058	10.9771609247
MK-5108	BORTEZOMIB	A2058	-4.6284858456
MK-5108	DASATINIB	A2058	31.7288985973
MK-5108	DINACICLIB	A2058	-8.508984463400001
MK-5108	ERLOTINIB	A2058	-5.2838859363
MK-5108	GELDANAMYCIN	A2058	-11.074795953
MK-5108	MK-2206	A2058	2.1837131891
MK-5108	MK-4827	A2058	29.7188981207
MK-5108	MK-8669	A2058	17.8854604204
MK-5108	MK-8776	A2058	-4.972035404200001
MK-5108	OXALIPLATIN	A2058	-16.7996063909
MK-5108	PD325901	A2058	-8.2137415585
MK-5108	SN-38	A2058	-7.887824655499999
MK-5108	SORAFENIB	A2058	-9.5095105454
MK-5108	TOPOTECAN	A2058	13.6295076152
MK-8669	BEZ-235	A2058	86.5985705826
MK-8669	DINACICLIB	A2058	14.964845325
MK-8669	GELDANAMYCIN	A2058	20.585916368
MK-8669	MK-8776	A2058	61.7862482518
MK-8669	OXALIPLATIN	A2058	3.3669853062
MK-8669	SN-38	A2058	13.356832591
MK-8669	SORAFENIB	A2058	16.3623864142
MK-8669	TOPOTECAN	A2058	-12.6679177751
MRK-003	5-FU	A2058	12.5716044023
MRK-003	ABT-888	A2058	10.2687707963
MRK-003	AZD1775	A2058	10.209524082
MRK-003	BEZ-235	A2058	21.5650755752
MRK-003	BORTEZOMIB	A2058	7.7330504712
MRK-003	CARBOPLATIN	A2058	3.2486127773
MRK-003	CYCLOPHOSPHAMIDE	A2058	-3.5525384004
MRK-003	DASATINIB	A2058	32.1882809709
MRK-003	DEXAMETHASONE	A2058	-5.967280376900001
MRK-003	DINACICLIB	A2058	-6.5322066770000005
MRK-003	DOXORUBICIN	A2058	-1.0487267279
MRK-003	ERLOTINIB	A2058	4.3397135858
MRK-003	ETOPOSIDE	A2058	-0.7424632413
MRK-003	GELDANAMYCIN	A2058	2.3548346699
MRK-003	GEMCITABINE	A2058	2.6321911036000003
MRK-003	L778123	A2058	10.6456664122
MRK-003	LAPATINIB	A2058	22.33190784615
MRK-003	METFORMIN	A2058	9.7117700605
MRK-003	METHOTREXATE	A2058	-11.7868908276
MRK-003	MITOMYCINE	A2058	-1.7836315572
MRK-003	MK-2206	A2058	18.1673798167
MRK-003	MK-4827	A2058	28.4985259229
MRK-003	MK-5108	A2058	-4.0428638149000005
MRK-003	MK-8669	A2058	23.5264422686
MRK-003	MK-8776	A2058	8.7823928749
MRK-003	OXALIPLATIN	A2058	0.903598054
MRK-003	PACLITAXEL	A2058	10.8476036262
MRK-003	PD325901	A2058	16.7538223145
MRK-003	SN-38	A2058	9.6015834414
MRK-003	SORAFENIB	A2058	14.1511379701
MRK-003	SUNITINIB	A2058	16.21105833455
MRK-003	TEMOZOLOMIDE	A2058	18.4383142211
MRK-003	TOPOTECAN	A2058	26.4779604506
MRK-003	VINBLASTINE	A2058	36.6426634756
MRK-003	VINORELBINE	A2058	3.4286605035
MRK-003	ZOLINZA	A2058	-0.5870804648
OXALIPLATIN	DINACICLIB	A2058	-3.4584634916000003
OXALIPLATIN	MK-8776	A2058	18.8156036485
OXALIPLATIN	SORAFENIB	A2058	-9.4410016327
PACLITAXEL	ABT-888	A2058	-4.8109448763
PACLITAXEL	AZD1775	A2058	-10.3053137618
PACLITAXEL	BEZ-235	A2058	-5.0073360703
PACLITAXEL	BORTEZOMIB	A2058	-19.1243988813
PACLITAXEL	DASATINIB	A2058	28.7258616197
PACLITAXEL	DINACICLIB	A2058	-18.6919712375
PACLITAXEL	ERLOTINIB	A2058	-12.6293309857
PACLITAXEL	GELDANAMYCIN	A2058	-28.9888961542
PACLITAXEL	L778123	A2058	17.679737390899998
PACLITAXEL	LAPATINIB	A2058	-5.178457846000001
PACLITAXEL	MK-2206	A2058	6.295023780499999
PACLITAXEL	MK-4827	A2058	-16.6677417803
PACLITAXEL	MK-5108	A2058	23.7017334189
PACLITAXEL	MK-8669	A2058	10.9895380957
PACLITAXEL	MK-8776	A2058	10.0607489979
PACLITAXEL	PD325901	A2058	1.72489134
PACLITAXEL	SORAFENIB	A2058	-11.1855334473
PACLITAXEL	SUNITINIB	A2058	-3.3366904546
PACLITAXEL	TEMOZOLOMIDE	A2058	-12.6297106828
PACLITAXEL	ZOLINZA	A2058	-27.821045865
PD325901	ABT-888	A2058	3.7561185539
PD325901	BEZ-235	A2058	56.5529882885
PD325901	BORTEZOMIB	A2058	6.896642195599999
PD325901	DASATINIB	A2058	34.4118328637
PD325901	DINACICLIB	A2058	-1.4847763919
PD325901	GELDANAMYCIN	A2058	-15.6431804737
PD325901	MK-8669	A2058	50.5997288547
PD325901	MK-8776	A2058	26.9700035439
PD325901	OXALIPLATIN	A2058	4.638170083
PD325901	SN-38	A2058	-6.3721332337
PD325901	SORAFENIB	A2058	32.7549342489
PD325901	TOPOTECAN	A2058	16.083000828299998
SN-38	DINACICLIB	A2058	-10.0556212342
SN-38	MK-8776	A2058	24.3993434474
SN-38	SORAFENIB	A2058	-6.3480466167
SORAFENIB	DINACICLIB	A2058	-3.5451958169
SORAFENIB	MK-8776	A2058	9.9813495803
SUNITINIB	ABT-888	A2058	11.5575850657
SUNITINIB	AZD1775	A2058	-3.4218589134
SUNITINIB	BEZ-235	A2058	24.6600221722
SUNITINIB	BORTEZOMIB	A2058	-3.7892011905
SUNITINIB	DASATINIB	A2058	41.5825128512
SUNITINIB	DINACICLIB	A2058	5.6552829372
SUNITINIB	ERLOTINIB	A2058	14.1014713788
SUNITINIB	GELDANAMYCIN	A2058	7.8956441196
SUNITINIB	LAPATINIB	A2058	32.9188822173
SUNITINIB	MK-2206	A2058	42.28215967915
SUNITINIB	MK-4827	A2058	-4.3871786723
SUNITINIB	MK-5108	A2058	-6.0717543509
SUNITINIB	MK-8669	A2058	39.694651966
SUNITINIB	MK-8776	A2058	26.4225380218
SUNITINIB	OXALIPLATIN	A2058	-4.4276084266
SUNITINIB	PD325901	A2058	16.7669354147
SUNITINIB	SN-38	A2058	-5.5737187652
SUNITINIB	SORAFENIB	A2058	-4.8611102782
SUNITINIB	TEMOZOLOMIDE	A2058	3.0209211841
SUNITINIB	TOPOTECAN	A2058	-7.8780762106
TEMOZOLOMIDE	ABT-888	A2058	41.188121854
TEMOZOLOMIDE	AZD1775	A2058	38.7970173503
TEMOZOLOMIDE	BEZ-235	A2058	19.6709589307
TEMOZOLOMIDE	BORTEZOMIB	A2058	13.5453062371
TEMOZOLOMIDE	DASATINIB	A2058	35.831338588200005
TEMOZOLOMIDE	DINACICLIB	A2058	8.238832538099999
TEMOZOLOMIDE	ERLOTINIB	A2058	23.1691917075
TEMOZOLOMIDE	GELDANAMYCIN	A2058	42.111850352800005
TEMOZOLOMIDE	LAPATINIB	A2058	20.264529555
TEMOZOLOMIDE	MK-2206	A2058	14.2552631078
TEMOZOLOMIDE	MK-4827	A2058	42.2415847089
TEMOZOLOMIDE	MK-5108	A2058	-7.440084409600001
TEMOZOLOMIDE	MK-8669	A2058	19.9498250051
TEMOZOLOMIDE	MK-8776	A2058	128.3217060895
TEMOZOLOMIDE	OXALIPLATIN	A2058	-0.0747024853
TEMOZOLOMIDE	PD325901	A2058	37.1078227654
TEMOZOLOMIDE	SN-38	A2058	8.482931463
