drugname1	drugname2	cell_line	zip
DEXAMETHASONE	MK-2206	A2058	6.6625
DEXAMETHASONE	MK-4827	A2058	1.485
DEXAMETHASONE	MK-5108	A2058	4.1850000000000005
DEXAMETHASONE	MK-8669	A2058	7.69
DEXAMETHASONE	MK-8776	A2058	5.6175
DEXAMETHASONE	PD325901	A2058	11.177499999999998
DEXAMETHASONE	SORAFENIB	A2058	17.79
DEXAMETHASONE	SUNITINIB	A2058	16.935000000000002
DEXAMETHASONE	TEMOZOLOMIDE	A2058	1.935
DEXAMETHASONE	ZOLINZA	A2058	9.5725
DINACICLIB	MK-8776	A2058	-1.3
DOXORUBICIN	ABT-888	A2058	0.25
DOXORUBICIN	AZD1775	A2058	3.1025
DOXORUBICIN	BEZ-235	A2058	-1.7425
DOXORUBICIN	BORTEZOMIB	A2058	-0.0825
DOXORUBICIN	DASATINIB	A2058	1.65
DOXORUBICIN	DINACICLIB	A2058	0.3575
DOXORUBICIN	ERLOTINIB	A2058	0.31
DOXORUBICIN	GELDANAMYCIN	A2058	0.9525
DOXORUBICIN	L778123	A2058	4.18
DOXORUBICIN	LAPATINIB	A2058	3.115
DOXORUBICIN	MK-2206	A2058	0.2975
DOXORUBICIN	MK-4827	A2058	-4.84
DOXORUBICIN	MK-5108	A2058	-2.3625000000000003
DOXORUBICIN	MK-8669	A2058	-1.1125
DOXORUBICIN	MK-8776	A2058	2.1275000000000004
DOXORUBICIN	PD325901	A2058	3.6625
DOXORUBICIN	SORAFENIB	A2058	-0.9275
DOXORUBICIN	SUNITINIB	A2058	-1.125
DOXORUBICIN	TEMOZOLOMIDE	A2058	-3.5075
DOXORUBICIN	ZOLINZA	A2058	1.7499999999999998
ERLOTINIB	ABT-888	A2058	-2.2675
ERLOTINIB	BEZ-235	A2058	7.022499999999999
ERLOTINIB	BORTEZOMIB	A2058	-1.1949999999999998
ERLOTINIB	DASATINIB	A2058	5.085
ERLOTINIB	DINACICLIB	A2058	1.84
ERLOTINIB	GELDANAMYCIN	A2058	6.157500000000001
ERLOTINIB	MK-8669	A2058	18.08
ERLOTINIB	MK-8776	A2058	4.125
ERLOTINIB	OXALIPLATIN	A2058	-2.1125
ERLOTINIB	PD325901	A2058	1.5125000000000002
ERLOTINIB	SN-38	A2058	6.487500000000001
ERLOTINIB	SORAFENIB	A2058	8.445
ERLOTINIB	TOPOTECAN	A2058	13.74
ETOPOSIDE	ABT-888	A2058	4.025
ETOPOSIDE	AZD1775	A2058	9.94
ETOPOSIDE	BEZ-235	A2058	1.39
ETOPOSIDE	BORTEZOMIB	A2058	3.95
ETOPOSIDE	DASATINIB	A2058	-0.1675000000000001
ETOPOSIDE	DINACICLIB	A2058	3.4875
ETOPOSIDE	ERLOTINIB	A2058	2.54
ETOPOSIDE	GELDANAMYCIN	A2058	9.53
ETOPOSIDE	LAPATINIB	A2058	3.5975
ETOPOSIDE	MK-2206	A2058	7.28
ETOPOSIDE	MK-4827	A2058	0.3675
ETOPOSIDE	MK-5108	A2058	5.9975000000000005
ETOPOSIDE	MK-8669	A2058	0.5175000000000001
ETOPOSIDE	MK-8776	A2058	10.04
ETOPOSIDE	PD325901	A2058	4.297499999999999
ETOPOSIDE	SORAFENIB	A2058	3.7175
ETOPOSIDE	SUNITINIB	A2058	3.4675
ETOPOSIDE	TEMOZOLOMIDE	A2058	2.81
ETOPOSIDE	ZOLINZA	A2058	7.032500000000001
GELDANAMYCIN	BEZ-235	A2058	6.865
GELDANAMYCIN	DINACICLIB	A2058	7.3775
GELDANAMYCIN	MK-8776	A2058	13.9475
GELDANAMYCIN	OXALIPLATIN	A2058	11.24
GELDANAMYCIN	SN-38	A2058	12.0525
GELDANAMYCIN	SORAFENIB	A2058	16.7075
GELDANAMYCIN	TOPOTECAN	A2058	7.5
GEMCITABINE	ABT-888	A2058	5.5775
GEMCITABINE	AZD1775	A2058	17.11375
GEMCITABINE	BEZ-235	A2058	9.0425
GEMCITABINE	BORTEZOMIB	A2058	10.09
GEMCITABINE	DASATINIB	A2058	2.7175
GEMCITABINE	DINACICLIB	A2058	8.7775
GEMCITABINE	ERLOTINIB	A2058	8.84
GEMCITABINE	GELDANAMYCIN	A2058	9.8775
GEMCITABINE	LAPATINIB	A2058	5.9925
GEMCITABINE	MK-2206	A2058	12.9775
GEMCITABINE	MK-4827	A2058	-0.9125
GEMCITABINE	MK-5108	A2058	14.38
GEMCITABINE	MK-8669	A2058	8.8425
GEMCITABINE	MK-8776	A2058	28.661249999999995
GEMCITABINE	PD325901	A2058	6.404999999999999
GEMCITABINE	SORAFENIB	A2058	3.0975
GEMCITABINE	SUNITINIB	A2058	8.2875
GEMCITABINE	TEMOZOLOMIDE	A2058	5.075
L778123	ABT-888	A2058	-0.615
L778123	AZD1775	A2058	4.26
L778123	BEZ-235	A2058	10.6325
L778123	BORTEZOMIB	A2058	2.275
L778123	DASATINIB	A2058	6.950000000000001
L778123	DINACICLIB	A2058	7.27
L778123	ERLOTINIB	A2058	3.6575
L778123	ETOPOSIDE	A2058	9.315
L778123	GELDANAMYCIN	A2058	13.7975
L778123	GEMCITABINE	A2058	11.0075
L778123	LAPATINIB	A2058	9.22
L778123	MK-2206	A2058	8.825000000000001
L778123	MK-4827	A2058	10.575
L778123	MK-5108	A2058	18.152500000000003
L778123	MK-8669	A2058	13.92875
L778123	MK-8776	A2058	11.9725
L778123	OXALIPLATIN	A2058	-2.2299999999999995
L778123	PD325901	A2058	2.5325
L778123	SN-38	A2058	30.33
L778123	SORAFENIB	A2058	30.14
L778123	SUNITINIB	A2058	22.565
L778123	TEMOZOLOMIDE	A2058	13.510000000000002
L778123	TOPOTECAN	A2058	21.775
L778123	VINORELBINE	A2058	8.690000000000001
L778123	ZOLINZA	A2058	13.4125
LAPATINIB	ABT-888	A2058	1.3
LAPATINIB	BEZ-235	A2058	11.714999999999998
LAPATINIB	BORTEZOMIB	A2058	1.7725
LAPATINIB	DASATINIB	A2058	7.1
LAPATINIB	DINACICLIB	A2058	7.5925
LAPATINIB	ERLOTINIB	A2058	5.1075
LAPATINIB	GELDANAMYCIN	A2058	9.875
LAPATINIB	MK-2206	A2058	2.46625
LAPATINIB	MK-4827	A2058	4.7775
LAPATINIB	MK-5108	A2058	3.945
LAPATINIB	MK-8669	A2058	3.1049999999999995
LAPATINIB	MK-8776	A2058	5.35
LAPATINIB	OXALIPLATIN	A2058	3.9025
LAPATINIB	PD325901	A2058	25.620000000000005
LAPATINIB	SN-38	A2058	9.945
LAPATINIB	SORAFENIB	A2058	20.58
LAPATINIB	TOPOTECAN	A2058	10.4225
METFORMIN	ABT-888	A2058	13.272499999999996
METFORMIN	AZD1775	A2058	7.827500000000001
METFORMIN	BEZ-235	A2058	16.53
METFORMIN	BORTEZOMIB	A2058	2.6525
METFORMIN	DASATINIB	A2058	-0.5275
METFORMIN	DINACICLIB	A2058	6.069999999999999
METFORMIN	ERLOTINIB	A2058	-0.4150000000000001
METFORMIN	GELDANAMYCIN	A2058	10.9925
METFORMIN	L778123	A2058	8.514999999999999
METFORMIN	LAPATINIB	A2058	4.47
METFORMIN	MK-2206	A2058	7.8225
METFORMIN	MK-4827	A2058	6.095000000000001
METFORMIN	MK-5108	A2058	8.7075
METFORMIN	MK-8669	A2058	6.9675
METFORMIN	MK-8776	A2058	-1.13
METFORMIN	PD325901	A2058	22.31
METFORMIN	SORAFENIB	A2058	17.3525
METFORMIN	SUNITINIB	A2058	13.2575
METFORMIN	TEMOZOLOMIDE	A2058	3.5075000000000003
METFORMIN	ZOLINZA	A2058	11.79
METHOTREXATE	ABT-888	A2058	-3.0525
METHOTREXATE	AZD1775	A2058	1.51
METHOTREXATE	BEZ-235	A2058	-7.07
METHOTREXATE	BORTEZOMIB	A2058	-2.4275
METHOTREXATE	DASATINIB	A2058	5.0600000000000005
METHOTREXATE	DINACICLIB	A2058	4.922499999999999
METHOTREXATE	ERLOTINIB	A2058	3.2875
METHOTREXATE	GELDANAMYCIN	A2058	-6.2425
METHOTREXATE	L778123	A2058	-1.86
METHOTREXATE	LAPATINIB	A2058	0.1050000000000001
METHOTREXATE	MK-2206	A2058	2.0175
METHOTREXATE	MK-4827	A2058	-4.369999999999999
METHOTREXATE	MK-5108	A2058	-4.6875
METHOTREXATE	MK-8669	A2058	-4.3
METHOTREXATE	MK-8776	A2058	-1.46
METHOTREXATE	PD325901	A2058	-2.88
METHOTREXATE	SORAFENIB	A2058	1.55
METHOTREXATE	SUNITINIB	A2058	-2.5225
METHOTREXATE	TEMOZOLOMIDE	A2058	-7.825
METHOTREXATE	ZOLINZA	A2058	-5.175
MITOMYCINE	ABT-888	A2058	13.6925
MITOMYCINE	AZD1775	A2058	14.65
MITOMYCINE	BEZ-235	A2058	4.2075000000000005
MITOMYCINE	BORTEZOMIB	A2058	9.6525
MITOMYCINE	DASATINIB	A2058	11.92
MITOMYCINE	DINACICLIB	A2058	7.755000000000001
MITOMYCINE	ERLOTINIB	A2058	-8.965
MITOMYCINE	GELDANAMYCIN	A2058	11.21
MITOMYCINE	L778123	A2058	1.12
MITOMYCINE	LAPATINIB	A2058	17.887500000000003
MITOMYCINE	MK-2206	A2058	7.99
MITOMYCINE	MK-4827	A2058	0.43
MITOMYCINE	MK-5108	A2058	5.2675
MITOMYCINE	MK-8669	A2058	4.0825
MITOMYCINE	MK-8776	A2058	9.9325
MITOMYCINE	PD325901	A2058	16.045
MITOMYCINE	SORAFENIB	A2058	-20.6025
MITOMYCINE	SUNITINIB	A2058	8.6625
MITOMYCINE	TEMOZOLOMIDE	A2058	2.0475000000000003
MITOMYCINE	ZOLINZA	A2058	16.5825
MK-2206	ABT-888	A2058	2.74
MK-2206	BEZ-235	A2058	9.84
MK-2206	BORTEZOMIB	A2058	1.085
MK-2206	DASATINIB	A2058	12.515
MK-2206	DINACICLIB	A2058	0.3924999999999999
MK-2206	ERLOTINIB	A2058	-1.2700000000000002
MK-2206	GELDANAMYCIN	A2058	6.25
MK-2206	MK-8669	A2058	8.12875
MK-2206	MK-8776	A2058	-2.5275
MK-2206	OXALIPLATIN	A2058	-2.0725
MK-2206	PD325901	A2058	10.63
MK-2206	SN-38	A2058	3.3525
MK-2206	SORAFENIB	A2058	12.0475
MK-2206	TOPOTECAN	A2058	6.635
MK-4541	5-FU	A2058	-3.0875000000000004
MK-4541	ABT-888	A2058	2.7675
MK-4541	AZD1775	A2058	0.855
MK-4541	BEZ-235	A2058	2.035
MK-4541	BORTEZOMIB	A2058	2.8575
MK-4541	CARBOPLATIN	A2058	-2.3125
MK-4541	CYCLOPHOSPHAMIDE	A2058	1.8975
MK-4541	DASATINIB	A2058	-4.55
MK-4541	DEXAMETHASONE	A2058	4.25
MK-4541	DINACICLIB	A2058	2.5424999999999995
MK-4541	DOXORUBICIN	A2058	2.08
MK-4541	ERLOTINIB	A2058	-4.925
MK-4541	ETOPOSIDE	A2058	3.145
MK-4541	GELDANAMYCIN	A2058	4.38
MK-4541	GEMCITABINE	A2058	2.625
MK-4541	L778123	A2058	-0.8775
MK-4541	LAPATINIB	A2058	-2.26
MK-4541	METFORMIN	A2058	2.7350000000000003
MK-4541	METHOTREXATE	A2058	-2.275
MK-4541	MITOMYCINE	A2058	13.760000000000002
MK-4541	MK-2206	A2058	-6.307499999999999
MK-4541	MK-4827	A2058	1.0225
MK-4541	MK-5108	A2058	0.7725000000000004
MK-4541	MK-8669	A2058	-3.6175
MK-4541	MK-8776	A2058	-3.97
MK-4541	MRK-003	A2058	-1.9975
MK-4541	OXALIPLATIN	A2058	-5.2
MK-4541	PACLITAXEL	A2058	-2.8675
MK-4541	PD325901	A2058	-0.7749999999999999
MK-4541	SN-38	A2058	1.5
MK-4541	SORAFENIB	A2058	5.8825
MK-4541	SUNITINIB	A2058	5.205000000000001
MK-4541	TEMOZOLOMIDE	A2058	-1.715
MK-4541	TOPOTECAN	A2058	3.835
MK-4541	VINBLASTINE	A2058	-3.5625
MK-4541	VINORELBINE	A2058	-0.825
MK-4541	ZOLINZA	A2058	0.5175000000000001
MK-4827	ABT-888	A2058	0.7850000000000001
MK-4827	BEZ-235	A2058	-2.3975
MK-4827	BORTEZOMIB	A2058	2.685
MK-4827	DASATINIB	A2058	-1.1825
MK-4827	DINACICLIB	A2058	1.3275
MK-4827	ERLOTINIB	A2058	0.4575
MK-4827	GELDANAMYCIN	A2058	8.9325
MK-4827	MK-2206	A2058	12.585
MK-4827	MK-8669	A2058	2.875
MK-4827	MK-8776	A2058	10.64375
MK-4827	OXALIPLATIN	A2058	7.35
MK-4827	PD325901	A2058	-2.205
MK-4827	SN-38	A2058	6.075
MK-4827	SORAFENIB	A2058	0.0275
MK-4827	TOPOTECAN	A2058	3.545
MK-5108	ABT-888	A2058	4.0025
MK-5108	BEZ-235	A2058	4.0875
MK-5108	BORTEZOMIB	A2058	1.3924999999999998
MK-5108	DASATINIB	A2058	1.7325
MK-5108	DINACICLIB	A2058	0.6399999999999999
MK-5108	ERLOTINIB	A2058	2.225
MK-5108	GELDANAMYCIN	A2058	2.16
MK-5108	MK-2206	A2058	-1.1525
MK-5108	MK-4827	A2058	14.57
MK-5108	MK-8669	A2058	0.4924999999999998
MK-5108	MK-8776	A2058	-7.314999999999999
MK-5108	OXALIPLATIN	A2058	-2.5525
MK-5108	PD325901	A2058	-0.8725
MK-5108	SN-38	A2058	1.5550000000000002
MK-5108	SORAFENIB	A2058	6.914999999999999
MK-5108	TOPOTECAN	A2058	9.5775
MK-8669	BEZ-235	A2058	18.545
MK-8669	DINACICLIB	A2058	0.9399999999999998
MK-8669	GELDANAMYCIN	A2058	5.48
MK-8669	MK-8776	A2058	5.0825
MK-8669	OXALIPLATIN	A2058	-2.975
MK-8669	SN-38	A2058	1.87
MK-8669	SORAFENIB	A2058	8.715
MK-8669	TOPOTECAN	A2058	-1.76
MRK-003	5-FU	A2058	12.9525
MRK-003	ABT-888	A2058	2.3175000000000003
MRK-003	AZD1775	A2058	6.83
MRK-003	BEZ-235	A2058	9.29
MRK-003	BORTEZOMIB	A2058	4.529999999999999
MRK-003	CARBOPLATIN	A2058	7.847500000000001
MRK-003	CYCLOPHOSPHAMIDE	A2058	6.2675
MRK-003	DASATINIB	A2058	7.229999999999999
MRK-003	DEXAMETHASONE	A2058	6.79
MRK-003	DINACICLIB	A2058	3.3125
MRK-003	DOXORUBICIN	A2058	1.7775
MRK-003	ERLOTINIB	A2058	-2.2625
MRK-003	ETOPOSIDE	A2058	4.605
MRK-003	GELDANAMYCIN	A2058	5.5975
MRK-003	GEMCITABINE	A2058	7.61
MRK-003	L778123	A2058	5.6625
MRK-003	LAPATINIB	A2058	7.96
MRK-003	METFORMIN	A2058	10.6625
MRK-003	METHOTREXATE	A2058	3.44
MRK-003	MITOMYCINE	A2058	10.5975
MRK-003	MK-2206	A2058	5.22
MRK-003	MK-4827	A2058	16.45
MRK-003	MK-5108	A2058	1.1599999999999997
MRK-003	MK-8669	A2058	6.6
MRK-003	MK-8776	A2058	2.075
MRK-003	OXALIPLATIN	A2058	7.5925
MRK-003	PACLITAXEL	A2058	2.0
MRK-003	PD325901	A2058	9.2975
MRK-003	SN-38	A2058	6.109999999999999
MRK-003	SORAFENIB	A2058	16.855
MRK-003	SUNITINIB	A2058	9.59375
MRK-003	TEMOZOLOMIDE	A2058	6.35
MRK-003	TOPOTECAN	A2058	16.197499999999998
MRK-003	VINBLASTINE	A2058	11.18375
MRK-003	VINORELBINE	A2058	6.805
MRK-003	ZOLINZA	A2058	6.0875
OXALIPLATIN	DINACICLIB	A2058	2.2925
OXALIPLATIN	MK-8776	A2058	10.52
OXALIPLATIN	SORAFENIB	A2058	6.3525
PACLITAXEL	ABT-888	A2058	6.3475
PACLITAXEL	AZD1775	A2058	2.515
PACLITAXEL	BEZ-235	A2058	0.9025
PACLITAXEL	BORTEZOMIB	A2058	2.1075
PACLITAXEL	DASATINIB	A2058	0.6449999999999998
PACLITAXEL	DINACICLIB	A2058	0.9125
PACLITAXEL	ERLOTINIB	A2058	-2.2525
PACLITAXEL	GELDANAMYCIN	A2058	3.855
PACLITAXEL	L778123	A2058	9.625
PACLITAXEL	LAPATINIB	A2058	0.375
PACLITAXEL	MK-2206	A2058	-0.285
PACLITAXEL	MK-4827	A2058	-0.2225
PACLITAXEL	MK-5108	A2058	9.855
PACLITAXEL	MK-8669	A2058	-0.765
PACLITAXEL	MK-8776	A2058	-0.3775
PACLITAXEL	PD325901	A2058	6.26
PACLITAXEL	SORAFENIB	A2058	3.4675
PACLITAXEL	SUNITINIB	A2058	5.6075
PACLITAXEL	TEMOZOLOMIDE	A2058	-1.1124999999999998
PACLITAXEL	ZOLINZA	A2058	2.47
PD325901	ABT-888	A2058	4.555
PD325901	BEZ-235	A2058	12.2
PD325901	BORTEZOMIB	A2058	3.14
PD325901	DASATINIB	A2058	-2.2425
PD325901	DINACICLIB	A2058	3.640000000000001
PD325901	GELDANAMYCIN	A2058	-1.105
PD325901	MK-8669	A2058	10.19
PD325901	MK-8776	A2058	-0.0224999999999999
PD325901	OXALIPLATIN	A2058	4.7125
PD325901	SN-38	A2058	-0.0725
PD325901	SORAFENIB	A2058	27.1725
PD325901	TOPOTECAN	A2058	3.9325
SN-38	DINACICLIB	A2058	5.205
SN-38	MK-8776	A2058	6.477500000000001
SN-38	SORAFENIB	A2058	9.15
SORAFENIB	DINACICLIB	A2058	10.48
SORAFENIB	MK-8776	A2058	6.01
SUNITINIB	ABT-888	A2058	13.2625
SUNITINIB	AZD1775	A2058	9.510000000000002
SUNITINIB	BEZ-235	A2058	13.9575
SUNITINIB	BORTEZOMIB	A2058	5.297499999999999
SUNITINIB	DASATINIB	A2058	16.3975
SUNITINIB	DINACICLIB	A2058	12.09
SUNITINIB	ERLOTINIB	A2058	14.34
SUNITINIB	GELDANAMYCIN	A2058	10.5975
SUNITINIB	LAPATINIB	A2058	24.8375
SUNITINIB	MK-2206	A2058	16.697499999999998
SUNITINIB	MK-4827	A2058	2.7475
SUNITINIB	MK-5108	A2058	2.3175
SUNITINIB	MK-8669	A2058	22.8375
SUNITINIB	MK-8776	A2058	15.8125
SUNITINIB	OXALIPLATIN	A2058	6.754999999999999
SUNITINIB	PD325901	A2058	10.27
SUNITINIB	SN-38	A2058	7.375
SUNITINIB	SORAFENIB	A2058	12.515
SUNITINIB	TEMOZOLOMIDE	A2058	1.15
SUNITINIB	TOPOTECAN	A2058	3.2725
TEMOZOLOMIDE	ABT-888	A2058	16.2625
TEMOZOLOMIDE	AZD1775	A2058	13.9025
TEMOZOLOMIDE	BEZ-235	A2058	-0.0924999999999999
TEMOZOLOMIDE	BORTEZOMIB	A2058	5.42
TEMOZOLOMIDE	DASATINIB	A2058	1.0550000000000002
TEMOZOLOMIDE	DINACICLIB	A2058	2.0825
TEMOZOLOMIDE	ERLOTINIB	A2058	3.4875
TEMOZOLOMIDE	GELDANAMYCIN	A2058	10.53
TEMOZOLOMIDE	LAPATINIB	A2058	5.465000000000001
TEMOZOLOMIDE	MK-2206	A2058	1.8225
TEMOZOLOMIDE	MK-4827	A2058	2.65875
TEMOZOLOMIDE	MK-5108	A2058	-2.055
TEMOZOLOMIDE	MK-8669	A2058	-0.4824999999999999
TEMOZOLOMIDE	MK-8776	A2058	22.715
TEMOZOLOMIDE	OXALIPLATIN	A2058	1.89
TEMOZOLOMIDE	PD325901	A2058	7.1425
TEMOZOLOMIDE	SN-38	A2058	2.2625
TEMOZOLOMIDE	SORAFENIB	A2058	4.9625
TEMOZOLOMIDE	TOPOTECAN	A2058	0.7424999999999999
TOPOTECAN	BEZ-235	A2058	1.815
TOPOTECAN	DINACICLIB	A2058	4.430000000000001
TOPOTECAN	MK-8776	A2058	10.1975
TOPOTECAN	SORAFENIB	A2058	8.77
VINBLASTINE	ABT-888	A2058	-4.7975
VINBLASTINE	AZD1775	A2058	4.4675
VINBLASTINE	BEZ-235	A2058	2.9475
VINBLASTINE	BORTEZOMIB	A2058	4.51
VINBLASTINE	DASATINIB	A2058	-1.2525000000000004
VINBLASTINE	DINACICLIB	A2058	-0.1875
VINBLASTINE	ERLOTINIB	A2058	8.977500000000001
VINBLASTINE	GELDANAMYCIN	A2058	3.1475
VINBLASTINE	L778123	A2058	20.1325
VINBLASTINE	LAPATINIB	A2058	2.5875
VINBLASTINE	MK-2206	A2058	-7.9925
VINBLASTINE	MK-4827	A2058	-0.6275
VINBLASTINE	MK-5108	A2058	3.62
VINBLASTINE	MK-8669	A2058	-0.55
VINBLASTINE	MK-8776	A2058	-2.88
VINBLASTINE	PD325901	A2058	-1.85
VINBLASTINE	SORAFENIB	A2058	15.8075
VINBLASTINE	SUNITINIB	A2058	7.792499999999999
VINBLASTINE	TEMOZOLOMIDE	A2058	-6.6475
VINBLASTINE	ZOLINZA	A2058	2.3725
VINORELBINE	ABT-888	A2058	2.6325000000000003
VINORELBINE	AZD1775	A2058	1.8375
VINORELBINE	BEZ-235	A2058	1.535
VINORELBINE	BORTEZOMIB	A2058	0.125
VINORELBINE	DASATINIB	A2058	-1.34
VINORELBINE	DINACICLIB	A2058	1.8675
VINORELBINE	ERLOTINIB	A2058	3.5474999999999994
VINORELBINE	GELDANAMYCIN	A2058	3.0699999999999994
VINORELBINE	LAPATINIB	A2058	1.25
VINORELBINE	MK-2206	A2058	-0.85
VINORELBINE	MK-4827	A2058	-6.7675
VINORELBINE	MK-5108	A2058	-4.442499999999999
