drugname1	drugname2	cell_line	bliss
ERLOTINIB	PD325901	A2058	4.012499999999999
ERLOTINIB	SN-38	A2058	7.9375
ERLOTINIB	SORAFENIB	A2058	9.4075
ERLOTINIB	TOPOTECAN	A2058	10.095
ETOPOSIDE	ABT-888	A2058	4.0975
ETOPOSIDE	AZD1775	A2058	8.995000000000001
ETOPOSIDE	BEZ-235	A2058	0.2025
ETOPOSIDE	BORTEZOMIB	A2058	2.6225
ETOPOSIDE	DASATINIB	A2058	-0.13
ETOPOSIDE	DINACICLIB	A2058	3.4325
ETOPOSIDE	ERLOTINIB	A2058	1.0725
ETOPOSIDE	GELDANAMYCIN	A2058	8.405
ETOPOSIDE	LAPATINIB	A2058	2.515
ETOPOSIDE	MK-2206	A2058	5.8075
ETOPOSIDE	MK-4827	A2058	-1.3824999999999998
ETOPOSIDE	MK-5108	A2058	3.22
ETOPOSIDE	MK-8669	A2058	-0.0624999999999998
ETOPOSIDE	MK-8776	A2058	9.537499999999998
ETOPOSIDE	PD325901	A2058	4.1375
ETOPOSIDE	SORAFENIB	A2058	3.42
ETOPOSIDE	SUNITINIB	A2058	2.885
ETOPOSIDE	TEMOZOLOMIDE	A2058	1.5750000000000002
ETOPOSIDE	ZOLINZA	A2058	7.1675
GELDANAMYCIN	BEZ-235	A2058	6.2425
GELDANAMYCIN	DINACICLIB	A2058	4.7375
GELDANAMYCIN	MK-8776	A2058	13.025
GELDANAMYCIN	OXALIPLATIN	A2058	9.465
GELDANAMYCIN	SN-38	A2058	10.075
GELDANAMYCIN	SORAFENIB	A2058	16.6375
GELDANAMYCIN	TOPOTECAN	A2058	6.5775
GEMCITABINE	ABT-888	A2058	5.4350000000000005
GEMCITABINE	AZD1775	A2058	14.335
GEMCITABINE	BEZ-235	A2058	7.6275
GEMCITABINE	BORTEZOMIB	A2058	8.05
GEMCITABINE	DASATINIB	A2058	3.4025000000000003
GEMCITABINE	DINACICLIB	A2058	7.735
GEMCITABINE	ERLOTINIB	A2058	7.377499999999999
GEMCITABINE	GELDANAMYCIN	A2058	7.385
GEMCITABINE	LAPATINIB	A2058	6.7875
GEMCITABINE	MK-2206	A2058	11.835
GEMCITABINE	MK-4827	A2058	-1.9575
GEMCITABINE	MK-5108	A2058	12.3475
GEMCITABINE	MK-8669	A2058	8.93
GEMCITABINE	MK-8776	A2058	26.255
GEMCITABINE	PD325901	A2058	8.065
GEMCITABINE	SORAFENIB	A2058	3.33
GEMCITABINE	SUNITINIB	A2058	7.635
GEMCITABINE	TEMOZOLOMIDE	A2058	3.88
L778123	ABT-888	A2058	7.3925
L778123	AZD1775	A2058	4.38625
L778123	BEZ-235	A2058	10.005
L778123	BORTEZOMIB	A2058	5.35
L778123	DASATINIB	A2058	8.217500000000001
L778123	DINACICLIB	A2058	8.77
L778123	ERLOTINIB	A2058	6.702500000000001
L778123	ETOPOSIDE	A2058	8.305
L778123	GELDANAMYCIN	A2058	11.975
L778123	GEMCITABINE	A2058	11.499999999999998
L778123	LAPATINIB	A2058	12.6575
L778123	MK-2206	A2058	11.72
L778123	MK-4827	A2058	9.1775
L778123	MK-5108	A2058	17.5175
L778123	MK-8669	A2058	15.63125
L778123	MK-8776	A2058	11.365000000000002
L778123	OXALIPLATIN	A2058	5.0075
L778123	PD325901	A2058	5.495
L778123	SN-38	A2058	27.9375
L778123	SORAFENIB	A2058	31.360000000000003
L778123	SUNITINIB	A2058	23.6125
L778123	TEMOZOLOMIDE	A2058	13.755
L778123	TOPOTECAN	A2058	19.575
L778123	VINORELBINE	A2058	7.61
L778123	ZOLINZA	A2058	14.7775
LAPATINIB	ABT-888	A2058	6.2475000000000005
LAPATINIB	BEZ-235	A2058	12.079999999999998
LAPATINIB	BORTEZOMIB	A2058	5.775
LAPATINIB	DASATINIB	A2058	12.5225
LAPATINIB	DINACICLIB	A2058	9.7175
LAPATINIB	ERLOTINIB	A2058	8.1
LAPATINIB	GELDANAMYCIN	A2058	9.505
LAPATINIB	MK-2206	A2058	8.33875
LAPATINIB	MK-4827	A2058	3.725
LAPATINIB	MK-5108	A2058	4.07
LAPATINIB	MK-8669	A2058	8.7975
LAPATINIB	MK-8776	A2058	6.1675
LAPATINIB	OXALIPLATIN	A2058	8.795000000000002
LAPATINIB	PD325901	A2058	25.1475
LAPATINIB	SN-38	A2058	11.57
LAPATINIB	SORAFENIB	A2058	21.4175
LAPATINIB	TOPOTECAN	A2058	8.085
METFORMIN	ABT-888	A2058	17.1875
METFORMIN	AZD1775	A2058	8.655
METFORMIN	BEZ-235	A2058	16.695
METFORMIN	BORTEZOMIB	A2058	1.9075
METFORMIN	DASATINIB	A2058	5.9075
METFORMIN	DINACICLIB	A2058	5.272500000000001
METFORMIN	ERLOTINIB	A2058	4.585000000000001
METFORMIN	GELDANAMYCIN	A2058	9.0375
METFORMIN	L778123	A2058	13.21
METFORMIN	LAPATINIB	A2058	10.895
METFORMIN	MK-2206	A2058	11.6
METFORMIN	MK-4827	A2058	2.9325
METFORMIN	MK-5108	A2058	7.6225
METFORMIN	MK-8669	A2058	14.3625
METFORMIN	MK-8776	A2058	-0.93
METFORMIN	PD325901	A2058	23.595
METFORMIN	SORAFENIB	A2058	19.0225
METFORMIN	SUNITINIB	A2058	12.552500000000002
METFORMIN	TEMOZOLOMIDE	A2058	2.0425
METFORMIN	ZOLINZA	A2058	12.8125
METHOTREXATE	ABT-888	A2058	-8.9225
METHOTREXATE	AZD1775	A2058	-3.3225
METHOTREXATE	BEZ-235	A2058	-11.19
METHOTREXATE	BORTEZOMIB	A2058	-5.04
METHOTREXATE	DASATINIB	A2058	-0.8399999999999999
METHOTREXATE	DINACICLIB	A2058	0.6775
METHOTREXATE	ERLOTINIB	A2058	-2.365
METHOTREXATE	GELDANAMYCIN	A2058	-10.7175
METHOTREXATE	L778123	A2058	-4.930000000000001
METHOTREXATE	LAPATINIB	A2058	-3.96
METHOTREXATE	MK-2206	A2058	-1.6875
METHOTREXATE	MK-4827	A2058	-7.9975
METHOTREXATE	MK-5108	A2058	-9.15
METHOTREXATE	MK-8669	A2058	-7.9825
METHOTREXATE	MK-8776	A2058	-4.3175
METHOTREXATE	PD325901	A2058	-6.465
METHOTREXATE	SORAFENIB	A2058	-2.92
METHOTREXATE	SUNITINIB	A2058	-5.5600000000000005
METHOTREXATE	TEMOZOLOMIDE	A2058	-12.05
METHOTREXATE	ZOLINZA	A2058	-10.34
MITOMYCINE	ABT-888	A2058	13.325
MITOMYCINE	AZD1775	A2058	13.2225
MITOMYCINE	BEZ-235	A2058	3.5175
MITOMYCINE	BORTEZOMIB	A2058	7.7775
MITOMYCINE	DASATINIB	A2058	10.8475
MITOMYCINE	DINACICLIB	A2058	6.115
MITOMYCINE	ERLOTINIB	A2058	-14.405
MITOMYCINE	GELDANAMYCIN	A2058	9.2225
MITOMYCINE	L778123	A2058	-0.88
MITOMYCINE	LAPATINIB	A2058	15.695
MITOMYCINE	MK-2206	A2058	6.7875000000000005
MITOMYCINE	MK-4827	A2058	-0.0274999999999999
MITOMYCINE	MK-5108	A2058	4.297499999999999
MITOMYCINE	MK-8669	A2058	3.48
MITOMYCINE	MK-8776	A2058	6.5512500000000005
MITOMYCINE	PD325901	A2058	14.197500000000002
MITOMYCINE	SORAFENIB	A2058	-34.255
MITOMYCINE	SUNITINIB	A2058	8.010000000000002
MITOMYCINE	TEMOZOLOMIDE	A2058	0.6074999999999999
MITOMYCINE	ZOLINZA	A2058	16.39
MK-2206	ABT-888	A2058	6.5125
MK-2206	BEZ-235	A2058	9.4525
MK-2206	BORTEZOMIB	A2058	0.73
MK-2206	DASATINIB	A2058	14.4475
MK-2206	DINACICLIB	A2058	1.2975
MK-2206	ERLOTINIB	A2058	3.585
MK-2206	GELDANAMYCIN	A2058	5.6275
MK-2206	MK-8669	A2058	10.861250000000002
MK-2206	MK-8776	A2058	-0.3875
MK-2206	OXALIPLATIN	A2058	0.2274999999999998
MK-2206	PD325901	A2058	12.1825
MK-2206	SN-38	A2058	6.23
MK-2206	SORAFENIB	A2058	14.805
MK-2206	TOPOTECAN	A2058	5.09
MK-4541	5-FU	A2058	0.8600000000000001
MK-4541	ABT-888	A2058	4.6975
MK-4541	AZD1775	A2058	0.2674999999999999
MK-4541	BEZ-235	A2058	1.0625
MK-4541	BORTEZOMIB	A2058	1.525
MK-4541	CARBOPLATIN	A2058	-1.8175
MK-4541	CYCLOPHOSPHAMIDE	A2058	3.5575
MK-4541	DASATINIB	A2058	-1.06
MK-4541	DEXAMETHASONE	A2058	-2.1524999999999994
MK-4541	DINACICLIB	A2058	1.6500000000000004
MK-4541	DOXORUBICIN	A2058	0.4850000000000001
MK-4541	ERLOTINIB	A2058	-1.8425
MK-4541	ETOPOSIDE	A2058	2.49
MK-4541	GELDANAMYCIN	A2058	2.685
MK-4541	GEMCITABINE	A2058	2.6025
MK-4541	L778123	A2058	2.9675
MK-4541	LAPATINIB	A2058	-0.3399999999999999
MK-4541	METFORMIN	A2058	4.265000000000001
MK-4541	METHOTREXATE	A2058	-7.84
MK-4541	MITOMYCINE	A2058	12.07
MK-4541	MK-2206	A2058	-2.8425
MK-4541	MK-4827	A2058	-2.435
MK-4541	MK-5108	A2058	-1.77
MK-4541	MK-8669	A2058	0.1024999999999999
MK-4541	MK-8776	A2058	-4.005
MK-4541	MRK-003	A2058	-1.62
MK-4541	OXALIPLATIN	A2058	-3.6525
MK-4541	PACLITAXEL	A2058	-5.2775
MK-4541	PD325901	A2058	2.6225
MK-4541	SN-38	A2058	1.6875
MK-4541	SORAFENIB	A2058	6.98
MK-4541	SUNITINIB	A2058	7.225
MK-4541	TEMOZOLOMIDE	A2058	-2.4725
MK-4541	TOPOTECAN	A2058	2.18
MK-4541	VINBLASTINE	A2058	-7.117500000000001
MK-4541	VINORELBINE	A2058	-7.065
MK-4541	ZOLINZA	A2058	1.1975
MK-4827	ABT-888	A2058	-7.684999999999999
MK-4827	BEZ-235	A2058	-4.34
MK-4827	BORTEZOMIB	A2058	1.645
MK-4827	DASATINIB	A2058	-2.5375
MK-4827	DINACICLIB	A2058	0.1625000000000001
MK-4827	ERLOTINIB	A2058	0.37
MK-4827	GELDANAMYCIN	A2058	7.1
MK-4827	MK-2206	A2058	11.185
MK-4827	MK-8669	A2058	0.6400000000000001
MK-4827	MK-8776	A2058	9.185
MK-4827	OXALIPLATIN	A2058	4.9175
MK-4827	PD325901	A2058	-3.3575
MK-4827	SN-38	A2058	4.45
MK-4827	SORAFENIB	A2058	-1.69
MK-4827	TOPOTECAN	A2058	-1.5850000000000002
MK-5108	ABT-888	A2058	5.7675
MK-5108	BEZ-235	A2058	3.3125
MK-5108	BORTEZOMIB	A2058	0.3575
MK-5108	DASATINIB	A2058	3.7675
MK-5108	DINACICLIB	A2058	-0.12
MK-5108	ERLOTINIB	A2058	3.3325000000000005
MK-5108	GELDANAMYCIN	A2058	-0.19
MK-5108	MK-2206	A2058	1.2999999999999998
MK-5108	MK-4827	A2058	11.9125
MK-5108	MK-8669	A2058	4.255
MK-5108	MK-8776	A2058	-5.6775
MK-5108	OXALIPLATIN	A2058	-0.7699999999999999
MK-5108	PD325901	A2058	-0.0749999999999999
MK-5108	SN-38	A2058	1.435
MK-5108	SORAFENIB	A2058	6.675000000000001
MK-5108	TOPOTECAN	A2058	7.2775
MK-8669	BEZ-235	A2058	18.0075
MK-8669	DINACICLIB	A2058	4.1075
MK-8669	GELDANAMYCIN	A2058	6.8675
MK-8669	MK-8776	A2058	7.705
MK-8669	OXALIPLATIN	A2058	2.8
MK-8669	SN-38	A2058	3.335
MK-8669	SORAFENIB	A2058	11.96
MK-8669	TOPOTECAN	A2058	-2.2575000000000003
MRK-003	5-FU	A2058	16.585
MRK-003	ABT-888	A2058	10.0075
MRK-003	AZD1775	A2058	7.830000000000001
MRK-003	BEZ-235	A2058	8.424999999999999
MRK-003	BORTEZOMIB	A2058	5.91
MRK-003	CARBOPLATIN	A2058	8.42
MRK-003	CYCLOPHOSPHAMIDE	A2058	8.569999999999999
MRK-003	DASATINIB	A2058	11.255
MRK-003	DEXAMETHASONE	A2058	10.0725
MRK-003	DINACICLIB	A2058	2.2375
MRK-003	DOXORUBICIN	A2058	0.47
MRK-003	ERLOTINIB	A2058	4.865
MRK-003	ETOPOSIDE	A2058	3.9425
MRK-003	GELDANAMYCIN	A2058	6.0375000000000005
MRK-003	GEMCITABINE	A2058	8.815
MRK-003	L778123	A2058	10.305
MRK-003	LAPATINIB	A2058	12.73625
MRK-003	METFORMIN	A2058	14.795000000000002
MRK-003	METHOTREXATE	A2058	-2.8
MRK-003	MITOMYCINE	A2058	8.36
MRK-003	MK-2206	A2058	11.555
MRK-003	MK-4827	A2058	13.95
MRK-003	MK-5108	A2058	-0.0274999999999999
MRK-003	MK-8669	A2058	11.375
MRK-003	MK-8776	A2058	3.25
MRK-003	OXALIPLATIN	A2058	9.54
MRK-003	PACLITAXEL	A2058	2.955
MRK-003	PD325901	A2058	11.7725
MRK-003	SN-38	A2058	8.755
MRK-003	SORAFENIB	A2058	18.915
MRK-003	SUNITINIB	A2058	10.5275
MRK-003	TEMOZOLOMIDE	A2058	6.890000000000001
MRK-003	TOPOTECAN	A2058	13.4575
MRK-003	VINBLASTINE	A2058	10.49125
MRK-003	VINORELBINE	A2058	4.9875
MRK-003	ZOLINZA	A2058	7.865
OXALIPLATIN	DINACICLIB	A2058	3.4075
OXALIPLATIN	MK-8776	A2058	11.534999999999998
OXALIPLATIN	SORAFENIB	A2058	6.5425
PACLITAXEL	ABT-888	A2058	4.675000000000001
PACLITAXEL	AZD1775	A2058	1.1324999999999998
PACLITAXEL	BEZ-235	A2058	-0.3199999999999998
PACLITAXEL	BORTEZOMIB	A2058	1.6325
PACLITAXEL	DASATINIB	A2058	1.1825
PACLITAXEL	DINACICLIB	A2058	-0.1124999999999999
PACLITAXEL	ERLOTINIB	A2058	-1.405
PACLITAXEL	GELDANAMYCIN	A2058	0.105
PACLITAXEL	L778123	A2058	8.3375
PACLITAXEL	LAPATINIB	A2058	0.5775
PACLITAXEL	MK-2206	A2058	0.1274999999999999
PACLITAXEL	MK-4827	A2058	-4.0375
PACLITAXEL	MK-5108	A2058	8.8225
PACLITAXEL	MK-8669	A2058	-0.4725
PACLITAXEL	MK-8776	A2058	-2.03
PACLITAXEL	PD325901	A2058	5.3950000000000005
PACLITAXEL	SORAFENIB	A2058	2.72
PACLITAXEL	SUNITINIB	A2058	4.97
PACLITAXEL	TEMOZOLOMIDE	A2058	-2.12
PACLITAXEL	ZOLINZA	A2058	1.46
PD325901	ABT-888	A2058	6.265000000000001
PD325901	BEZ-235	A2058	11.3225
PD325901	BORTEZOMIB	A2058	4.0975
PD325901	DASATINIB	A2058	0.715
PD325901	DINACICLIB	A2058	4.355
PD325901	GELDANAMYCIN	A2058	-1.135
PD325901	MK-8669	A2058	11.6775
PD325901	MK-8776	A2058	0.2700000000000001
PD325901	OXALIPLATIN	A2058	6.0525
PD325901	SN-38	A2058	0.8600000000000001
PD325901	SORAFENIB	A2058	27.225
PD325901	TOPOTECAN	A2058	2.795
SN-38	DINACICLIB	A2058	4.8
SN-38	MK-8776	A2058	5.1450000000000005
SN-38	SORAFENIB	A2058	10.9075
SORAFENIB	DINACICLIB	A2058	10.76
SORAFENIB	MK-8776	A2058	7.719999999999999
SUNITINIB	ABT-888	A2058	15.4525
SUNITINIB	AZD1775	A2058	10.1675
SUNITINIB	BEZ-235	A2058	14.0225
SUNITINIB	BORTEZOMIB	A2058	5.8775
SUNITINIB	DASATINIB	A2058	17.657500000000002
SUNITINIB	DINACICLIB	A2058	12.045000000000002
SUNITINIB	ERLOTINIB	A2058	14.34
SUNITINIB	GELDANAMYCIN	A2058	9.5975
SUNITINIB	LAPATINIB	A2058	25.685
SUNITINIB	MK-2206	A2058	16.8275
SUNITINIB	MK-4827	A2058	0.7599999999999999
SUNITINIB	MK-5108	A2058	3.0275000000000003
SUNITINIB	MK-8669	A2058	23.1325
SUNITINIB	MK-8776	A2058	15.5
SUNITINIB	OXALIPLATIN	A2058	7.5525
SUNITINIB	PD325901	A2058	12.0275
SUNITINIB	SN-38	A2058	8.057500000000001
SUNITINIB	SORAFENIB	A2058	13.875
SUNITINIB	TEMOZOLOMIDE	A2058	1.2525
SUNITINIB	TOPOTECAN	A2058	1.8875
TEMOZOLOMIDE	ABT-888	A2058	16.4925
TEMOZOLOMIDE	AZD1775	A2058	13.8225
TEMOZOLOMIDE	BEZ-235	A2058	-0.9975
TEMOZOLOMIDE	BORTEZOMIB	A2058	5.0525
TEMOZOLOMIDE	DASATINIB	A2058	1.6025
TEMOZOLOMIDE	DINACICLIB	A2058	1.8025
TEMOZOLOMIDE	ERLOTINIB	A2058	3.4975
TEMOZOLOMIDE	GELDANAMYCIN	A2058	9.485
TEMOZOLOMIDE	LAPATINIB	A2058	5.432500000000001
TEMOZOLOMIDE	MK-2206	A2058	1.4375
TEMOZOLOMIDE	MK-4827	A2058	1.2775
TEMOZOLOMIDE	MK-5108	A2058	-2.9175
TEMOZOLOMIDE	MK-8669	A2058	-0.5625000000000001
TEMOZOLOMIDE	MK-8776	A2058	20.305
TEMOZOLOMIDE	OXALIPLATIN	A2058	2.515
TEMOZOLOMIDE	PD325901	A2058	6.967499999999999
TEMOZOLOMIDE	SN-38	A2058	1.4325
TEMOZOLOMIDE	SORAFENIB	A2058	4.84
TEMOZOLOMIDE	TOPOTECAN	A2058	-0.3350000000000001
TOPOTECAN	BEZ-235	A2058	0.4575
TOPOTECAN	DINACICLIB	A2058	2.7875
TOPOTECAN	MK-8776	A2058	9.8875
TOPOTECAN	SORAFENIB	A2058	6.4725
VINBLASTINE	ABT-888	A2058	-10.415
VINBLASTINE	AZD1775	A2058	2.995
VINBLASTINE	BEZ-235	A2058	2.5975
VINBLASTINE	BORTEZOMIB	A2058	3.4600000000000004
VINBLASTINE	DASATINIB	A2058	-2.6899999999999995
VINBLASTINE	DINACICLIB	A2058	-2.03
VINBLASTINE	ERLOTINIB	A2058	8.3725
VINBLASTINE	GELDANAMYCIN	A2058	0.2324999999999999
VINBLASTINE	L778123	A2058	18.795
VINBLASTINE	LAPATINIB	A2058	2.1375
VINBLASTINE	MK-2206	A2058	-7.6075
VINBLASTINE	MK-4827	A2058	-3.525
VINBLASTINE	MK-5108	A2058	0.8274999999999999
VINBLASTINE	MK-8669	A2058	1.1
VINBLASTINE	MK-8776	A2058	-5.279999999999999
VINBLASTINE	PD325901	A2058	-2.005
VINBLASTINE	SORAFENIB	A2058	16.36
VINBLASTINE	SUNITINIB	A2058	7.6
VINBLASTINE	TEMOZOLOMIDE	A2058	-11.42
VINBLASTINE	ZOLINZA	A2058	1.035
VINORELBINE	ABT-888	A2058	0.1549999999999999
VINORELBINE	AZD1775	A2058	-3.3275
VINORELBINE	BEZ-235	A2058	0.095
VINORELBINE	BORTEZOMIB	A2058	-1.3625000000000005
VINORELBINE	DASATINIB	A2058	-2.0925
VINORELBINE	DINACICLIB	A2058	0.7224999999999999
VINORELBINE	ERLOTINIB	A2058	0.4349999999999999
VINORELBINE	GELDANAMYCIN	A2058	0.77
VINORELBINE	LAPATINIB	A2058	-0.1250000000000001
VINORELBINE	MK-2206	A2058	-2.3175
