drugname1	drugname2	cell_line	zip	bliss	loewe	hsa
BORTEZOMIB	SN-38	COLO320DM	14.4	13.675	-1.909821882	13.8775
BORTEZOMIB	SORAFENIB	COLO320DM	6.135	4.285	-19.2673570424	5.1850000000000005
BORTEZOMIB	TOPOTECAN	COLO320DM	10.055	9.2225	-11.9653442483	9.9125
CARBOPLATIN	ABT-888	COLO320DM	3.335	12.0375	15.367005616199998	13.4875
CARBOPLATIN	AZD1775	COLO320DM	7.387499999999999	9.95	0.5757722338	10.82
CARBOPLATIN	BEZ-235	COLO320DM	11.62	13.1075	27.9471237792	14.9275
CARBOPLATIN	BORTEZOMIB	COLO320DM	15.6325	18.4725	-5.959322977	18.545
CARBOPLATIN	DASATINIB	COLO320DM	3.1475	7.1275	3.7150087057	3.5125
CARBOPLATIN	DINACICLIB	COLO320DM	-0.145	2.7974999999999994	-5.2056744171	3.7175
CARBOPLATIN	ERLOTINIB	COLO320DM	4.1025	5.6975	1.1025812533	8.1675
CARBOPLATIN	GELDANAMYCIN	COLO320DM	5.012500000000001	9.95	14.7844036636	9.52
CARBOPLATIN	L778123	COLO320DM	-2.14	-0.725	-4.1549628688	2.1975
CARBOPLATIN	LAPATINIB	COLO320DM	3.8675	6.4475	1.4829637093	8.084999999999999
CARBOPLATIN	MK-2206	COLO320DM	0.9825	4.119999999999999	0.5856041182	7.279999999999999
CARBOPLATIN	MK-4827	COLO320DM	6.289999999999999	10.9525	14.501970688499998	12.59
CARBOPLATIN	MK-5108	COLO320DM	1.8325	4.3825	-1.2114247235	5.699999999999999
CARBOPLATIN	MK-8669	COLO320DM	6.51	12.8825	13.6449925891	14.5325
CARBOPLATIN	MK-8776	COLO320DM	12.4575	14.52	12.504046847	15.535
CARBOPLATIN	PD325901	COLO320DM	-0.305	6.175000000000001	10.1380547586	7.465
CARBOPLATIN	SORAFENIB	COLO320DM	-3.2875	-6.890000000000001	-14.5871654266	-4.9350000000000005
CARBOPLATIN	SUNITINIB	COLO320DM	8.88	9.81	7.3896382448	12.39
CARBOPLATIN	TEMOZOLOMIDE	COLO320DM	0.02	1.83	-0.999442062	5.055000000000001
CARBOPLATIN	ZOLINZA	COLO320DM	2.77	4.8475	-0.1664646173	5.3925
CYCLOPHOSPHAMIDE	ABT-888	COLO320DM	0.55	9.6475	9.4375012964	6.6975
CYCLOPHOSPHAMIDE	AZD1775	COLO320DM	12.0325	13.2525	7.751563111799999	10.805
CYCLOPHOSPHAMIDE	BEZ-235	COLO320DM	10.5325	12.7975	19.1870670388	10.8025
CYCLOPHOSPHAMIDE	BORTEZOMIB	COLO320DM	19.6425	20.4875	3.3473386333	18.1575
CYCLOPHOSPHAMIDE	DASATINIB	COLO320DM	5.1025	8.33	4.0766251877	3.52
CYCLOPHOSPHAMIDE	DINACICLIB	COLO320DM	4.095	6.13	8.1386917748	3.8975
CYCLOPHOSPHAMIDE	ERLOTINIB	COLO320DM	3.835	4.3125	-1.2755462166	2.0375
CYCLOPHOSPHAMIDE	GELDANAMYCIN	COLO320DM	1.76	5.285	2.9414874357	2.205
CYCLOPHOSPHAMIDE	L778123	COLO320DM	5.842499999999999	8.4575	4.2883062046	6.5275
CYCLOPHOSPHAMIDE	LAPATINIB	COLO320DM	5.565	7.1225000000000005	4.3316983814	4.6125
CYCLOPHOSPHAMIDE	MK-2206	COLO320DM	7.885	9.2875	7.464477344800001	7.1425
CYCLOPHOSPHAMIDE	MK-4827	COLO320DM	5.055000000000001	10.8475	12.574016808	8.1925
CYCLOPHOSPHAMIDE	MK-5108	COLO320DM	6.415	10.1425	8.457147818200001	7.505000000000001
CYCLOPHOSPHAMIDE	MK-8669	COLO320DM	3.0475000000000003	9.6	6.2716137742	6.51
CYCLOPHOSPHAMIDE	MK-8776	COLO320DM	9.1325	11.6225	3.6249998846	8.975
CYCLOPHOSPHAMIDE	PD325901	COLO320DM	2.835	2.53	0.9967194555	-0.4324999999999999
CYCLOPHOSPHAMIDE	SORAFENIB	COLO320DM	2.88	3.0125	3.3867186404000003	1.6725
CYCLOPHOSPHAMIDE	SUNITINIB	COLO320DM	14.8375	14.7925	12.080286263	13.02
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	COLO320DM	1.0075	1.275	-4.6443698214	-0.8474999999999999
CYCLOPHOSPHAMIDE	ZOLINZA	COLO320DM	7.129999999999999	9.6575	14.1405513961	7.667499999999999
DASATINIB	ABT-888	COLO320DM	2.325	7.8725	10.6859611607	4.1525
DASATINIB	BEZ-235	COLO320DM	12.83	12.31	28.4177707833	9.8
DASATINIB	DINACICLIB	COLO320DM	4.2275	6.9175	12.2640701453	4.2825
DASATINIB	GELDANAMYCIN	COLO320DM	4.4575	2.3375	-3.6830230709	-1.4650000000000003
DASATINIB	MK-8669	COLO320DM	5.17	9.27	7.0755410183	5.585
DASATINIB	MK-8776	COLO320DM	2.7175	4.80625	4.27430654805	1.69625
DASATINIB	OXALIPLATIN	COLO320DM	-3.075	-1.04	-8.1339143072	-4.125
DASATINIB	SN-38	COLO320DM	2.6175	7.7125	4.5095323701	4.355
DASATINIB	SORAFENIB	COLO320DM	2.52	2.0275	4.4922937608	0.3375
DASATINIB	TOPOTECAN	COLO320DM	2.4375	0.7225	-1.0158839226	-1.535
DEXAMETHASONE	ABT-888	COLO320DM	-0.155	4.0025	3.9063076023	2.6625
DEXAMETHASONE	AZD1775	COLO320DM	8.1075	12.11	7.496604584500001	10.78
DEXAMETHASONE	BEZ-235	COLO320DM	11.0925	11.55	19.9401169516	10.645
DEXAMETHASONE	BORTEZOMIB	COLO320DM	18.53	17.6975	5.3245771027	16.655
DEXAMETHASONE	DASATINIB	COLO320DM	2.9575	5.327500000000001	0.1680701462	1.4900000000000002
DEXAMETHASONE	DINACICLIB	COLO320DM	1.25	5.61	5.2899257839	4.45
DEXAMETHASONE	ERLOTINIB	COLO320DM	3.33	3.8025	0.3574509942	2.7675000000000005
DEXAMETHASONE	GELDANAMYCIN	COLO320DM	1.9725	4.6975	3.2502180689	3.285
DEXAMETHASONE	L778123	COLO320DM	4.58	6.2775	4.8967335689	5.4075
DEXAMETHASONE	LAPATINIB	COLO320DM	4.3775	5.6275	4.6843523379	4.4875
DEXAMETHASONE	MK-2206	COLO320DM	8.942499999999999	11.2975	13.590327401	10.325
DEXAMETHASONE	MK-4827	COLO320DM	3.3974999999999995	9.9125	14.4457014999	8.7025
DEXAMETHASONE	MK-5108	COLO320DM	4.875	9.285	7.4467437642	7.925000000000001
DEXAMETHASONE	MK-8669	COLO320DM	3.7025	9.6525	7.8281750801	8.045000000000002
DEXAMETHASONE	MK-8776	COLO320DM	9.4275	13.4975	6.8725565070000005	12.0825
DEXAMETHASONE	PD325901	COLO320DM	1.855	3.4075	5.1314084872	2.0625
DEXAMETHASONE	SORAFENIB	COLO320DM	2.0700000000000003	1.715	2.6458196284	1.105
DEXAMETHASONE	SUNITINIB	COLO320DM	11.0825	12.125	9.7377096649	11.3175
DEXAMETHASONE	TEMOZOLOMIDE	COLO320DM	2.2175	3.825	2.2469547865	2.8625000000000003
DEXAMETHASONE	ZOLINZA	COLO320DM	7.817500000000001	11.555	18.8075162136	10.58
DINACICLIB	MK-8776	COLO320DM	8.297500000000001	9.565	7.5495276952	11.385
DOXORUBICIN	ABT-888	COLO320DM	0.1150000000000001	1.3550000000000002	4.592447443	2.415
DOXORUBICIN	AZD1775	COLO320DM	9.6525	9.8775	6.649281154	15.2975
DOXORUBICIN	BEZ-235	COLO320DM	5.2175	5.0425	18.4527815963	13.125
DOXORUBICIN	BORTEZOMIB	COLO320DM	10.2525	8.425	-25.1608055563	9.105
DOXORUBICIN	DASATINIB	COLO320DM	12.815	14.235	25.7571672573	11.9525
DOXORUBICIN	DINACICLIB	COLO320DM	6.219999999999999	5.5525	6.8459886465	9.5325
DOXORUBICIN	ERLOTINIB	COLO320DM	-11.0325	-13.725	-31.5696200794	-7.025
DOXORUBICIN	GELDANAMYCIN	COLO320DM	4.172499999999999	4.65	9.1922099891	4.3775
DOXORUBICIN	L778123	COLO320DM	-16.205000000000002	-17.205	-15.4889595735	-4.815
DOXORUBICIN	LAPATINIB	COLO320DM	4.1975	4.9275	-1.6780398257	8.775
DOXORUBICIN	MK-2206	COLO320DM	0.8025	0.9675	6.3289724644000005	10.5275
DOXORUBICIN	MK-4827	COLO320DM	-1.025	-1.855	-4.5767727282	2.3425
DOXORUBICIN	MK-5108	COLO320DM	-10.7225	-12.7525	-15.0715543589	-6.3725000000000005
DOXORUBICIN	MK-8669	COLO320DM	7.0425	7.325	16.9142342831	9.32
DOXORUBICIN	MK-8776	COLO320DM	9.935	9.255	20.7123837557	15.0425
DOXORUBICIN	PD325901	COLO320DM	2.145	0.8424999999999999	6.484322035599999	1.77
DOXORUBICIN	SORAFENIB	COLO320DM	-10.72	-14.2775	-14.1853171295	-7.51
DOXORUBICIN	SUNITINIB	COLO320DM	1.15	0.4025000000000001	-0.9954457786	9.4725
DOXORUBICIN	TEMOZOLOMIDE	COLO320DM	-3.6825	-3.605	11.7282390922	8.195
DOXORUBICIN	ZOLINZA	COLO320DM	5.3500000000000005	5.765000000000001	6.8546298237	9.3975
ERLOTINIB	ABT-888	COLO320DM	1.7725	1.1725	-1.2402229651	2.5024999999999995
ERLOTINIB	BEZ-235	COLO320DM	7.727500000000001	6.387499999999999	23.8505968677	11.4325
ERLOTINIB	BORTEZOMIB	COLO320DM	13.12	11.205000000000002	-19.4285082688	11.67
ERLOTINIB	DASATINIB	COLO320DM	7.470000000000001	8.225	6.6658512103	5.359999999999999
ERLOTINIB	DINACICLIB	COLO320DM	20.905	15.925	43.5160393392	18.54
ERLOTINIB	GELDANAMYCIN	COLO320DM	3.755	3.9725	-0.2523402211	3.63
ERLOTINIB	MK-8669	COLO320DM	6.092499999999999	7.584999999999999	14.5477680223	9.08
ERLOTINIB	MK-8776	COLO320DM	15.56	13.165	17.2881858541	16.755
ERLOTINIB	OXALIPLATIN	COLO320DM	-4.725	-4.1225000000000005	-15.4120494823	-0.5249999999999999
ERLOTINIB	PD325901	COLO320DM	1.5750000000000002	0.1825	-1.9705549432	1.3450000000000002
ERLOTINIB	SN-38	COLO320DM	3.1975	4.9525	8.6236444193	8.59
ERLOTINIB	SORAFENIB	COLO320DM	-0.4274999999999999	-0.5125	-1.5959779085	3.8325
ERLOTINIB	TOPOTECAN	COLO320DM	2.3525	1.275	13.967400486	8.37
ETOPOSIDE	ABT-888	COLO320DM	-2.34	1.5375	3.6551976411	2.4025
ETOPOSIDE	AZD1775	COLO320DM	6.885000000000001	10.61	8.5899545408	12.515
ETOPOSIDE	BEZ-235	COLO320DM	2.955	5.5375	14.4889058854	8.717500000000001
ETOPOSIDE	BORTEZOMIB	COLO320DM	12.6875	16.6375	2.0751615881	16.634999999999998
ETOPOSIDE	DASATINIB	COLO320DM	0.13	4.545	4.4553369871	1.1675
ETOPOSIDE	DINACICLIB	COLO320DM	-1.815	0.3625	-4.7949712455	2.015
ETOPOSIDE	ERLOTINIB	COLO320DM	3.8025	4.9125000000000005	10.3982469539	7.975
ETOPOSIDE	GELDANAMYCIN	COLO320DM	-0.675	3.3425	4.8720710053	2.8625
ETOPOSIDE	LAPATINIB	COLO320DM	8.65	9.2125	21.3573407608	10.9725
ETOPOSIDE	MK-2206	COLO320DM	6.324999999999999	8.68	20.2450604406	13.43
ETOPOSIDE	MK-4827	COLO320DM	0.03	6.282500000000001	11.2158359956	8.432500000000001
ETOPOSIDE	MK-5108	COLO320DM	-8.782499999999999	-3.8375	-4.2097554721	-0.9925
ETOPOSIDE	MK-8669	COLO320DM	-0.0424999999999999	7.035	11.7258313593	8.14
ETOPOSIDE	MK-8776	COLO320DM	9.7325	12.295	11.151334254000002	14.46
ETOPOSIDE	PD325901	COLO320DM	-3.63	1.0425	5.8994707747	1.8225
ETOPOSIDE	SORAFENIB	COLO320DM	-1.4700000000000002	-0.96	0.8405795264	2.06
ETOPOSIDE	SUNITINIB	COLO320DM	6.58	7.6925	9.4409052075	11.535
ETOPOSIDE	TEMOZOLOMIDE	COLO320DM	-2.83	-2.2350000000000003	3.9386279321	3.705
ETOPOSIDE	ZOLINZA	COLO320DM	2.3225	4.125	5.8805386426	5.3175
GELDANAMYCIN	BEZ-235	COLO320DM	12.37	12.1175	30.6556117343	11.755
GELDANAMYCIN	DINACICLIB	COLO320DM	2.69	4.255	10.0959241623	3.5025
GELDANAMYCIN	MK-8776	COLO320DM	10.7025	12.67	11.5313742789	11.77
GELDANAMYCIN	OXALIPLATIN	COLO320DM	-0.5275000000000001	-0.71	-2.6830478646	-1.3075
GELDANAMYCIN	SN-38	COLO320DM	-0.205	3.6675	0.0827458989	3.265
GELDANAMYCIN	SORAFENIB	COLO320DM	1.5125	0.5074999999999998	3.1864455822	0.3074999999999998
GELDANAMYCIN	TOPOTECAN	COLO320DM	4.8825	3.9725	6.9114710187	3.7025
GEMCITABINE	ABT-888	COLO320DM	4.135	-0.4275	0.2816028063	0.145
GEMCITABINE	AZD1775	COLO320DM	6.65875	3.3037499999999995	13.8910439982	8.405000000000001
GEMCITABINE	BEZ-235	COLO320DM	9.3425	3.0250000000000004	13.1446713683	11.0925
GEMCITABINE	BORTEZOMIB	COLO320DM	14.2025	7.165	-11.1318454052	8.235
GEMCITABINE	DASATINIB	COLO320DM	21.1325	10.28	15.9293066378	9.05
GEMCITABINE	DINACICLIB	COLO320DM	8.605	3.05	2.1122801633000003	6.885
GEMCITABINE	ERLOTINIB	COLO320DM	5.970000000000001	1.0950000000000002	4.9790666243	7.215
GEMCITABINE	GELDANAMYCIN	COLO320DM	15.8	6.385	11.261950247	6.237500000000001
GEMCITABINE	LAPATINIB	COLO320DM	5.29	0.32	-2.6954573254	4.275
GEMCITABINE	MK-2206	COLO320DM	11.68	3.69	15.571226539	11.7475
GEMCITABINE	MK-4827	COLO320DM	5.8175	-1.5075	0.3200691909	2.0475000000000003
GEMCITABINE	MK-5108	COLO320DM	6.2475000000000005	-0.5349999999999998	3.5678652767	4.8775
GEMCITABINE	MK-8669	COLO320DM	15.935	6.2525	10.0945652998	7.3225
GEMCITABINE	MK-8776	COLO320DM	10.385	6.486249999999999	32.55556678715	10.89375
GEMCITABINE	PD325901	COLO320DM	18.2525	9.675	16.1274866474	10.175
GEMCITABINE	SORAFENIB	COLO320DM	-0.4049999999999998	-2.1375	-1.8575430824	5.58
GEMCITABINE	SUNITINIB	COLO320DM	5.0725	0.13	-0.4226979924	9.25
GEMCITABINE	TEMOZOLOMIDE	COLO320DM	-4.445	-7.524999999999999	2.0222898042	1.7950000000000002
L778123	ABT-888	COLO320DM	0.2299999999999999	1.1475	1.7480497584	2.275
L778123	AZD1775	COLO320DM	3.77125	3.5500000000000007	12.20403910185	9.51375
L778123	BEZ-235	COLO320DM	9.9275	9.8725	32.1648116289	19.32
L778123	BORTEZOMIB	COLO320DM	6.182499999999999	5.682499999999999	-17.3979133972	6.3075
L778123	DASATINIB	COLO320DM	6.6225	6.4175	6.1468807018	3.9975
L778123	DINACICLIB	COLO320DM	3.12	3.8975	6.0194094921	8.82
L778123	ERLOTINIB	COLO320DM	3.415	3.735	12.2988267042	11.435
L778123	ETOPOSIDE	COLO320DM	-0.735	0.7599999999999999	4.0061741302	6.532499999999999
L778123	GELDANAMYCIN	COLO320DM	5.025	6.8025	5.7901822548	6.5175
L778123	GEMCITABINE	COLO320DM	11.3525	3.2125	12.0344797417	13.7625
L778123	LAPATINIB	COLO320DM	4.955	5.745	7.5009894337	10.2125
L778123	MK-2206	COLO320DM	6.7875	6.33	26.2431924556	18.3
L778123	MK-4827	COLO320DM	5.2725	6.2875	9.8332419573	11.777500000000002
L778123	MK-5108	COLO320DM	-20.49	-49.8925	-44.636307940600005	-41.3275
L778123	MK-8669	COLO320DM	0.5837500000000002	0.8037500000000004	12.20914851825	2.9725
L778123	MK-8776	COLO320DM	8.549999999999999	8.692499999999999	15.8159963647	16.0625
L778123	OXALIPLATIN	COLO320DM	0.8700000000000001	1.645	5.5849994074	8.9425
L778123	PD325901	COLO320DM	0.6325000000000002	0.8125	-0.0997048008	1.7925
L778123	SN-38	COLO320DM	1.01	2.4225	6.8979467864	8.605
L778123	SORAFENIB	COLO320DM	0.0049999999999999	-0.4749999999999999	5.9730859811000006	7.355
L778123	SUNITINIB	COLO320DM	8.6575	8.52	13.1168381372	18.9925
L778123	TEMOZOLOMIDE	COLO320DM	-7.6675	-6.835000000000001	7.3569788635	8.53
L778123	TOPOTECAN	COLO320DM	4.545	4.4125	22.740061457600003	17.2025
L778123	VINORELBINE	COLO320DM	6.347499999999999	7.195	3.7860079081	6.1675
L778123	ZOLINZA	COLO320DM	3.1175	2.8075	9.4694827127	7.4025
LAPATINIB	ABT-888	COLO320DM	0.36	1.6024999999999998	1.0786039353	3.0700000000000003
LAPATINIB	BEZ-235	COLO320DM	8.555	8.0975	18.8651889512	11.23
LAPATINIB	BORTEZOMIB	COLO320DM	22.55	19.42	-1.1535021793	19.66
LAPATINIB	DASATINIB	COLO320DM	7.475	6.0175	1.7753663709	2.8625
LAPATINIB	DINACICLIB	COLO320DM	12.7625	14.27	42.4788353591	15.560000000000002
LAPATINIB	ERLOTINIB	COLO320DM	0.9425	1.6925	-10.1594307466	4.8525
LAPATINIB	GELDANAMYCIN	COLO320DM	12.287499999999998	13.25	24.7940102535	12.875
LAPATINIB	MK-2206	COLO320DM	-1.897499999999999	-3.637500000000001	-0.9276298241000004	0.2099999999999999
LAPATINIB	MK-4827	COLO320DM	1.455	4.327500000000001	3.041560586	6.18
LAPATINIB	MK-5108	COLO320DM	4.735	5.4275	5.406108671699999	7.540000000000001
LAPATINIB	MK-8669	COLO320DM	10.3075	12.63	23.9013360997	13.39
LAPATINIB	MK-8776	COLO320DM	11.585	11.79	12.6189984975	13.76
LAPATINIB	OXALIPLATIN	COLO320DM	-5.2325	-4.4775	-16.9440881222	-2.45
LAPATINIB	PD325901	COLO320DM	5.1675	3.4225000000000003	6.974733626900001	4.7025
LAPATINIB	SN-38	COLO320DM	5.19	6.565	6.926610560299999	8.9375
LAPATINIB	SORAFENIB	COLO320DM	3.265000000000001	1.845	-4.3045970204	4.539999999999999
LAPATINIB	TOPOTECAN	COLO320DM	-1.9275	-3.7575	-11.5224680603	0.67
METFORMIN	ABT-888	COLO320DM	1.28	-0.4874999999999998	-1.6550013537	-1.6475
METFORMIN	AZD1775	COLO320DM	5.4075	6.1075	-0.9814558524	4.8775
METFORMIN	BEZ-235	COLO320DM	8.219999999999999	6.41	9.4289565111	5.63
METFORMIN	BORTEZOMIB	COLO320DM	4.1925	4.67	-32.6381769447	3.725
METFORMIN	DASATINIB	COLO320DM	3.7875	7.252499999999999	4.725616272	3.4225
METFORMIN	DINACICLIB	COLO320DM	1.4975	2.67	3.1781950927	1.595
METFORMIN	ERLOTINIB	COLO320DM	3.35	2.3	-2.2193227504	1.4100000000000004
METFORMIN	GELDANAMYCIN	COLO320DM	1.8425	0.4349999999999999	-3.700843975	-0.845
METFORMIN	L778123	COLO320DM	2.2925	1.7375	-0.6448588483	0.9825000000000002
METFORMIN	LAPATINIB	COLO320DM	7.1575	8.1075	7.0273278565	7.125000000000001
METFORMIN	MK-2206	COLO320DM	5.24	6.645	5.4715096003	5.805
METFORMIN	MK-4827	COLO320DM	3.3800000000000003	10.0	11.3925740454	8.9625
METFORMIN	MK-5108	COLO320DM	2.7025	4.67	5.2987268877	3.42
METFORMIN	MK-8669	COLO320DM	3.68	8.155000000000001	7.130775663500001	6.6850000000000005
METFORMIN	MK-8776	COLO320DM	8.129999999999999	9.2425	3.7846530413	7.9325
METFORMIN	PD325901	COLO320DM	1.1375	-2.635	-2.5592174031	-3.795
METFORMIN	SORAFENIB	COLO320DM	2.8025	2.72	3.5940398583	2.1975
METFORMIN	SUNITINIB	COLO320DM	10.225	10.27	7.4348133559	9.58
METFORMIN	TEMOZOLOMIDE	COLO320DM	1.4674999999999998	1.995	1.594488126	1.165
METFORMIN	ZOLINZA	COLO320DM	5.8775	6.357499999999999	9.7371855977	5.4575000000000005
METHOTREXATE	ABT-888	COLO320DM	0.9375	-1.995	0.3712156802	-1.4450000000000005
METHOTREXATE	AZD1775	COLO320DM	0.8650000000000001	-3.225	-16.8932541519	-0.8500000000000001
METHOTREXATE	BEZ-235	COLO320DM	-1.5775	-4.0175	-6.803307175900001	-0.6349999999999999
METHOTREXATE	BORTEZOMIB	COLO320DM	4.5225	1.7175	-28.0639632344	2.8075
METHOTREXATE	DASATINIB	COLO320DM	2.3075	-1.6725	1.5230156730000002	-2.8525
METHOTREXATE	DINACICLIB	COLO320DM	2.625	1.2125	2.5681830032	3.4125
METHOTREXATE	ERLOTINIB	COLO320DM	1.3724999999999998	-0.905	5.197357379700001	1.885
METHOTREXATE	GELDANAMYCIN	COLO320DM	1.78	-0.9474999999999998	1.7230995647999998	-1.09
METHOTREXATE	L778123	COLO320DM	-2.655	-3.8875	-0.1484194271	0.0875
METHOTREXATE	LAPATINIB	COLO320DM	2.4075	0.0024999999999999	-6.1192043123	1.84
METHOTREXATE	MK-2206	COLO320DM	7.870000000000001	5.0025	15.1876811486	8.51
METHOTREXATE	MK-4827	COLO320DM	-0.5875	-1.865	-1.6940064550999998	-0.3675000000000001
METHOTREXATE	MK-5108	COLO320DM	4.6725	0.04	2.1475715545	1.975
METHOTREXATE	MK-8669	COLO320DM	2.81	-1.4575	2.9941993679000003	-0.505
METHOTREXATE	MK-8776	COLO320DM	-0.6025	-2.8275	-5.6267977438	-0.9075
METHOTREXATE	PD325901	COLO320DM	1.485	-1.91	2.6274524312	-1.4325
METHOTREXATE	SORAFENIB	COLO320DM	-1.535	-2.6425	-6.5629086911000005	1.735
METHOTREXATE	SUNITINIB	COLO320DM	-0.5325	-2.795	-7.8550863489	1.47
METHOTREXATE	TEMOZOLOMIDE	COLO320DM	-5.68	-11.3475	-18.5645599633	-7.7775
METHOTREXATE	ZOLINZA	COLO320DM	3.43	0.9050000000000002	-14.4524132096	2.7875
MITOMYCINE	ABT-888	COLO320DM	2.915	6.09	3.9222162383	7.4375
MITOMYCINE	AZD1775	COLO320DM	9.4925	9.11	4.6613797228	12.2875
MITOMYCINE	BEZ-235	COLO320DM	8.645	7.8625	22.0469792099	13.04
MITOMYCINE	BORTEZOMIB	COLO320DM	15.5625	14.232499999999998	-12.8370210047	14.535
MITOMYCINE	DASATINIB	COLO320DM	9.34	10.9275	4.8665343124	7.827500000000001
